,Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Lake Area,Littoral Area,Lake Depth,Mean Depth,Water Access Sites
3075,31055200,Maple,Itasca,Hill City,"[-93.590291, 47.038957]",0.0,0.0,0.0,0.0,['was02605']
3076,31077300,Maple,Itasca,Marcell,"[-93.721518, 47.64781]",254.55,76.5,39.0,0.0,['was00960']
3077,31027100,Marble,Itasca,Marcell,"[-93.426121, 47.575624]",0.0,0.0,0.0,0.0,[]
3078,31050700,Marie,Itasca,Bigfork,"[-93.568905, 47.689486]",50.78,40.0,48.0,0.0,[]
3079,31093700,Marie,Itasca,Rosy,"[-94.410926, 47.618023]",0.0,0.0,0.0,0.0,[]
3080,31002900,Mary,Itasca,Bengal,"[-93.077535, 47.21713]",0.0,0.0,0.0,0.0,[]
3081,31047300,Mary,Itasca,Marcell,"[-93.476277, 47.585949]",211.76,95.0,45.0,0.0,[]
3082,31030200,May,Itasca,Bigfork,"[-93.374134, 47.648305]",65.43,65.43,15.0,7.0,[]
3083,31044100,McAlpine,Itasca,Taconite,"[-93.463658, 47.471688]",0.0,0.0,0.0,0.0,[]
3084,31058500,McAvity,Itasca,Cohasset,"[-93.609953, 47.374314]",147.0,101.0,29.0,11.0,['was02949']
3085,31076000,McDonald,Itasca,Suomi,"[-93.73778, 47.47781]",0.0,0.0,0.0,0.0,[]
3086,31007800,McGuire,Itasca,Warba,"[-93.28711, 47.10796]",0.0,0.0,0.0,0.0,[]
3087,31068200,McKewen,Itasca,Marcell,"[-93.61727, 47.554216]",26.49,26.49,31.0,0.0,[]
3088,31037000,McKinney,Itasca,Grand Rapids,"[-93.533116, 47.254353]",105.6,99.0,34.0,9.0,[]
3089,31039600,Middle Hanson,Itasca,Taconite,"[-93.452709, 47.434504]",65.05,36.0,32.0,0.0,[]
3090,31089200,Middle Pigeon,Itasca,Squaw Lake,"[-94.16436, 47.579668]",0.0,0.0,0.0,0.0,['was00974']
3091,31070600,Mike,Itasca,Marcell,"[-93.690858, 47.65312]",0.0,0.0,0.0,0.0,[]
3092,31059600,Miller,Itasca,Suomi,"[-93.636563, 47.43747]",0.0,0.0,0.0,0.0,[]
3093,31016000,Mirror,Itasca,Togo,"[-93.276473, 47.8035]",109.11,48.0,45.0,0.0,['was02595']
3094,31041400,Moon,Itasca,Marcell,"[-93.494458, 47.539184]",26.78,14.0,32.0,0.0,[]
3095,31022400,Moonshine,Itasca,Taconite,"[-93.421837, 47.335954]",17.69,10.0,38.0,0.0,[]
3096,31044400,Moonshine,Itasca,Grand Rapids,"[-93.515925, 47.472447]",26.35,10.0,68.0,0.0,['was00961']
3097,31053500,Moore,Itasca,Grand Rapids,"[-93.574258, 47.437458]",96.86,34.0,60.0,0.0,[]
3098,31012100,Moose,Itasca,Cort,"[-93.292456, 47.408879]",0.0,0.0,0.0,0.0,[]
3099,31024200,Moose,Itasca,Nashwauk,"[-93.339428, 47.528191]",47.6,47.6,11.0,0.0,[]
3100,31072200,Moose,Itasca,Deer River,"[-93.691697, 47.396911]",1273.39,345.0,61.0,0.0,"['was02343', 'was01342']"
3101,31089800,Moose,Itasca,Northome,"[-94.164811, 47.830581]",412.3,93.0,52.0,0.0,['was02599']
3102,69093800,Moran,St. Louis,Stevenson,"[-93.061251, 47.524887]",88.18,54.0,30.0,0.0,[]
3103,31092900,Morph,Itasca,Pennington,"[0, 0]",0.0,0.0,0.0,0.0,['was02600']
3104,31086100,Mosomo,Itasca,Max,"[-94.136889, 47.558297]",48.09,19.0,30.0,0.0,['was00971']
3105,31043100,Moss,Itasca,Alder,"[-93.477916, 47.502704]",32.32,32.32,15.0,0.0,[]
3106,31053100,Mountain Ash,Itasca,Hill City,"[-93.572699, 47.056613]",100.71,100.71,16.0,0.0,[]
3107,31011000,Mud,Itasca,Calumet,"[-93.286515, 47.316419]",0.0,0.0,0.0,0.0,[]
3109,31020600,Mud,Itasca,Gunn,"[-93.410912, 47.226272]",0.0,0.0,0.0,0.0,[]
3110,31035200,Mud,Itasca,Hill City,"[-93.526625, 47.101352]",0.0,0.0,0.0,0.0,[]
3111,31075000,Mud,Itasca,Zemple,"[-93.72448, 47.342768]",92.28,59.0,31.0,0.0,[]
3112,31027900,Unnamed,Itasca,Marcell,"[0, 0]",0.0,0.0,0.0,0.0,[]
3113,31038900,Murphy,Itasca,Taconite,"[-93.473589, 47.44196]",139.19,107.0,20.0,0.0,[]
3114,31063300,Mystery,Itasca,Suomi,"[-93.629515, 47.497699]",0.0,0.0,0.0,0.0,[]
3115,31029000,Napoleon,Itasca,Togo,"[-93.370911, 47.695968]",138.0,42.0,30.0,0.0,['was02598']
3116,31019200,Nashwauk,Itasca,Nashwauk,"[-93.320597, 47.430678]",159.3,44.0,53.0,0.0,['was00976']
3117,31087700,Natures,Itasca,Squaw Lake,"[-94.117461, 47.655656]",2248.64,2263.56,6.0,0.0,['was02117']
3118,31000700,New,Itasca,Goodland,"[-93.163142, 47.188404]",78.31,50.0,22.0,0.0,['was00981']
3119,31047000,Unnamed,Itasca,Marcell,"[0, 0]",14.21,5.9,36.5,0.0,['was02301']
3120,31083700,Noma,Itasca,Wirt,"[-93.963466, 47.752019]",60.48,27.0,47.0,0.0,['was02601']
3121,31065300,North Star,Itasca,Marcell,"[-93.666128, 47.553638]",831.63,314.0,90.0,0.0,['was02597']
3122,31019000,North Twin,Itasca,Marble,"[-93.318205, 47.307078]",238.76,73.0,42.0,0.0,['was00612']
3123,31041700,Nose,Itasca,Grand Rapids,"[-93.520334, 47.531125]",114.43,30.6,47.0,0.0,[]
3125,31003200,O'Brien,Itasca,Nashwauk,"[-93.133869, 47.356482]",538.97,0.0,63.0,0.0,[]
3126,31007000,O'Leary,Itasca,Nashwauk,"[-93.187768, 47.577977]",139.67,139.67,14.0,0.0,['was00488']
