lake_ID,lake_name,species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
73020002,Koronis (main lake),TLC,"[[10, 1], [11, 1], [12, 4], [13, 38], [14, 1], [15, 1], [16, 1], [17, 8], [18, 2]]",18,10,12341533451587000,2015-11-23
73020002,Koronis (main lake),WAE,"[[6, 26], [7, 21], [8, 18]]",8,6,16382134353095000,2021-10-14
73020002,Koronis (main lake),SHR,"[[16, 8], [17, 8], [18, 2], [19, 2], [20, 5], [21, 7], [22, 1]]",22,16,4921015344875000,2010-07-20
73020002,Koronis (main lake),BLB,"[[10, 2], [11, 1], [12, 9], [13, 2]]",13,10,4921015344875000,2010-07-20
73020002,Koronis (main lake),NOP,"[[15, 1], [18, 1], [22, 3], [23, 4], [24, 4], [25, 1], [26, 2], [28, 1], [30, 2], [33, 3]]",33,15,4921015344875000,2010-07-20
73020002,Koronis (main lake),PMK,"[[2, 1], [3, 1], [4, 5], [5, 4], [6, 7], [7, 3]]",7,2,4921015344875000,2010-07-20
73020002,Koronis (main lake),TLC,"[[12, 3], [13, 1], [14, 2], [15, 2], [16, 1], [8, 3], [9, 3]]",16,8,4921015344875000,2010-07-20
73020002,Koronis (main lake),LMB,"[[12, 1], [4, 1], [5, 2], [6, 1]]",12,4,4921015344875000,2010-07-20
73020002,Koronis (main lake),SMB,"[[11, 1], [13, 1], [15, 6], [16, 1], [18, 2], [19, 1], [7, 3], [9, 1]]",19,7,4921015344875000,2010-07-20
73020002,Koronis (main lake),WAE,"[[6, 1], [7, 8], [10, 7], [11, 15], [12, 12], [13, 10], [14, 16], [15, 18], [16, 5], [17, 4], [18, 1], [19, 5], [20, 1], [21, 3], [22, 3], [23, 2], [24, 1], [25, 1], [26, 1], [27, 2], [8, 3]]",27,6,4921015344875000,2010-07-20
73020002,Koronis (main lake),WTS,"[[11, 1], [15, 1], [16, 5], [17, 13], [18, 10], [19, 4], [20, 2], [22, 1], [5, 2], [7, 2]]",22,5,4921015344875000,2010-07-20
73020002,Koronis (main lake),BLC,"[[10, 18], [11, 1], [3, 10], [4, 35], [6, 1], [7, 1], [8, 5], [9, 9]]",11,3,4921015344875000,2010-07-20
73020002,Koronis (main lake),YEP,"[[4, 5], [5, 57], [6, 111], [7, 191], [8, 27], [9, 1]]",9,4,4921015344875000,2010-07-20
73020002,Koronis (main lake),CAP,"[[29, 2], [33, 1], [34, 1]]",34,29,4921015344875000,2010-07-20
73020002,Koronis (main lake),RKB,"[[3, 2], [4, 1], [5, 12], [6, 16], [7, 10], [8, 4], [9, 1]]",9,3,4921015344875000,2010-07-20
73020002,Koronis (main lake),YEB,"[[10, 79], [11, 34], [12, 20], [13, 6], [14, 1], [5, 1], [6, 5], [7, 4], [8, 12], [9, 61]]",14,5,4921015344875000,2010-07-20
73020002,Koronis (main lake),HSF,"[[2, 1], [3, 1], [4, 2], [5, 9], [6, 10], [7, 6]]",7,2,4921015344875000,2010-07-20
73020002,Koronis (main lake),BOF,"[[26, 1], [28, 1]]",28,26,4921015344875000,2010-07-20
73020002,Koronis (main lake),BLG,"[[2, 3], [3, 7], [4, 10], [5, 8], [6, 22], [7, 36], [8, 2]]",8,2,4921015344875000,2010-07-20
73020002,Koronis (main lake),GSF,"[[3, 1], [4, 1], [5, 1]]",5,3,4921015344875000,2010-07-20
