lake_ID,species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
31078400,BLG,"[[3, 3], [4, 19], [5, 4], [6, 6], [7, 5], [9, 1]]",9,3,17371912938325005,2019-07-29
31078400,WTS,"[[15, 1], [16, 5], [17, 3], [18, 5], [19, 1], [6, 1]]",19,6,17371912938325005,2019-07-29
31078400,TLC,"[[10, 35], [11, 5], [12, 2], [14, 11], [15, 10], [16, 2], [6, 12], [7, 54], [9, 56]]",16,6,17371912938325005,2019-07-29
31078400,YEP,"[[10, 2], [11, 1], [4, 1], [5, 25], [6, 13], [7, 11], [8, 8], [9, 4]]",11,4,17371912938325005,2019-07-29
31078400,BOF,"[[21, 1], [22, 1], [23, 1], [25, 1], [26, 1], [27, 3]]",27,21,17371912938325005,2019-07-29
31078400,NOP,"[[17, 1], [18, 1], [19, 1], [20, 2], [21, 4], [22, 1], [23, 2], [24, 3], [25, 1], [26, 1], [27, 1], [28, 1], [29, 1]]",29,17,17371912938325005,2019-07-29
31078400,RKB,"[[10, 8], [11, 1], [3, 4], [5, 4], [6, 12], [8, 2], [9, 6]]",11,3,17371912938325005,2019-07-29
31078400,WAE,"[[10, 3], [11, 5], [12, 5], [13, 1], [14, 3], [15, 4], [16, 9], [17, 10], [18, 20], [19, 4], [20, 6], [21, 3], [22, 2], [23, 2], [25, 1], [9, 1]]",25,9,17371912938325005,2019-07-29
31078400,YEB,"[[12, 1]]",12,12,17371912938325005,2019-07-29
31078400,PMK,"[[3, 6], [4, 9], [5, 6], [6, 3], [7, 1]]",7,3,17371912938325005,2019-07-29
31078400,HSF,"[[6, 1], [8, 4]]",8,6,17371912938325005,2019-07-29
31078400,LMB,"[[14, 1], [16, 1], [5, 1]]",16,5,17371912938325005,2019-07-29
31078400,SMB,"[[11, 1], [16, 1], [19, 3]]",19,11,17371912938325005,2019-07-29
31078400,SMB,"[[14, 2], [16, 1]]",16,14,106113,1996-07-29
31078400,LMB,"[[10, 1], [11, 3], [13, 1], [4, 2], [5, 4], [6, 1], [8, 1], [9, 1]]",13,4,106113,1996-07-29
31078400,HSF,"[[4, 1]]",4,4,106113,1996-07-29
31078400,PMK,"[[3, 24], [5, 1], [6, 4], [7, 3], [8, 1]]",8,3,106113,1996-07-29
31078400,YEB,"[[14, 1]]",14,14,106113,1996-07-29
31078400,WAE,"[[10, 10], [11, 4], [12, 9], [14, 2], [15, 16], [16, 15], [17, 7], [18, 9], [19, 14], [20, 7], [21, 3], [22, 2], [24, 2], [9, 3]]",24,9,106113,1996-07-29
31078400,CSH,"[[5, 1], [6, 3]]",6,5,106113,1996-07-29
31078400,NOP,"[[11, 1], [16, 3], [17, 1], [18, 1], [19, 6], [20, 6], [21, 3], [22, 2], [23, 1], [24, 1], [25, 1], [26, 3], [27, 1], [32, 1], [33, 1], [7, 2], [8, 1]]",33,7,106113,1996-07-29
31078400,BOF,"[[24, 1]]",24,24,106113,1996-07-29
31078400,RKB,"[[10, 11], [11, 1], [3, 18], [4, 12], [5, 5], [6, 21], [7, 15], [8, 18], [9, 11]]",11,3,106113,1996-07-29
31078400,TLC,"[[11, 3], [12, 1], [13, 10], [14, 11], [7, 6], [8, 7]]",14,7,106113,1996-07-29
31078400,YEP,"[[10, 5], [4, 1], [5, 141], [6, 290], [7, 74], [8, 36], [9, 14]]",10,4,106113,1996-07-29
31078400,BLC,"[[11, 2]]",11,11,106113,1996-07-29
31078400,BLG,"[[3, 8], [4, 1], [6, 9], [7, 8], [8, 3]]",8,3,106113,1996-07-29
31078400,WTS,"[[10, 1], [11, 2], [12, 1], [13, 1], [15, 1], [16, 1], [17, 4], [18, 1], [19, 1], [5, 1], [6, 8], [7, 5], [8, 6], [9, 8]]",19,5,106113,1996-07-29
31078400,YEP,"[[10, 2], [11, 1], [4, 1], [5, 84], [6, 90], [7, 13], [8, 7], [9, 3]]",11,4,106987,2004-08-02
31078400,TLC,"[[14, 10], [15, 14], [16, 2], [7, 1], [8, 2]]",16,7,106987,2004-08-02
31078400,CSH,"[[5, 1]]",5,5,106987,2004-08-02
31078400,WAE,"[[11, 5], [12, 3], [13, 5], [14, 3], [15, 2], [16, 6], [17, 13], [18, 14], [19, 19], [20, 16], [21, 11], [22, 4], [23, 4], [24, 2], [25, 1], [26, 2]]",26,11,106987,2004-08-02
31078400,YEB,"[[11, 2], [13, 1]]",13,11,106987,2004-08-02
31078400,NOP,"[[16, 2], [17, 1], [18, 2], [19, 6], [20, 14], [21, 27], [22, 11], [23, 1], [24, 1], [25, 1], [27, 2], [28, 1], [29, 2], [32, 1]]",32,16,106987,2004-08-02
31078400,RKB,"[[10, 12], [4, 1], [5, 6], [6, 11], [7, 5], [8, 12], [9, 18]]",10,4,106987,2004-08-02
31078400,BRB,"[[12, 1]]",12,12,106987,2004-08-02
31078400,BLG,"[[3, 104], [4, 99], [5, 20], [6, 16], [7, 18], [8, 2], [9, 1]]",9,3,106987,2004-08-02
31078400,WTS,"[[10, 3], [15, 5], [16, 9], [17, 3], [18, 6], [19, 3], [9, 3]]",19,9,106987,2004-08-02
31078400,BLC,"[[11, 1]]",11,11,106987,2004-08-02
31078400,SMB,"[[13, 1], [17, 1]]",17,13,106987,2004-08-02
31078400,HSF,"[[5, 1], [8, 1]]",8,5,106987,2004-08-02
31078400,LMB,"[[13, 5], [14, 1], [17, 1], [5, 1], [7, 1]]",17,5,106987,2004-08-02
31078400,PMK,"[[3, 6], [4, 2], [5, 3], [6, 4], [7, 3]]",7,3,106987,2004-08-02
31078400,PMK,"[[4, 4], [5, 27], [6, 36], [7, 8], [8, 2]]",8,4,4231020834002000,2010-08-02
31078400,LMB,"[[10, 1], [11, 4], [12, 3], [13, 4], [16, 1], [6, 2], [7, 4], [8, 2], [9, 2]]",16,6,4231020834002000,2010-08-02
31078400,HSF,"[[8, 1]]",8,8,4231020834002000,2010-08-02
31078400,SMB,"[[12, 1], [14, 1], [15, 1], [16, 1], [5, 1]]",16,5,4231020834002000,2010-08-02
31078400,WTS,"[[17, 3], [18, 1], [8, 2], [9, 1]]",18,8,4231020834002000,2010-08-02
31078400,BLG,"[[3, 22], [4, 237], [5, 217], [6, 106], [7, 113], [8, 10]]",8,3,4231020834002000,2010-08-02
31078400,BLB,"[[12, 1], [13, 1], [5, 1], [8, 1]]",13,5,4231020834002000,2010-08-02
31078400,BLC,"[[11, 1], [6, 2], [8, 8]]",11,6,4231020834002000,2010-08-02
31078400,TLC,"[[12, 12], [14, 2], [15, 3], [16, 6], [17, 1], [7, 2], [8, 39], [9, 7]]",17,7,4231020834002000,2010-08-02
31078400,YEP,"[[5, 35], [6, 132], [7, 34], [8, 18], [9, 3]]",9,5,4231020834002000,2010-08-02
31078400,BOF,"[[22, 2], [23, 4], [24, 6], [26, 1], [27, 1]]",27,22,4231020834002000,2010-08-02
31078400,NOP,"[[13, 1], [15, 2], [16, 6], [17, 1], [18, 2], [19, 1], [20, 7], [21, 2], [22, 3], [23, 1], [24, 1], [25, 1], [26, 1], [28, 1], [40, 1]]",40,13,4231020834002000,2010-08-02
31078400,RKB,"[[10, 1], [4, 1], [5, 6], [6, 10], [7, 21], [8, 27], [9, 15]]",10,4,4231020834002000,2010-08-02
31078400,WAE,"[[10, 5], [11, 3], [12, 6], [13, 13], [14, 2], [15, 5], [16, 10], [17, 7], [18, 5], [19, 1], [20, 5], [21, 2], [23, 2], [24, 1], [25, 1]]",25,10,4231020834002000,2010-08-02
31078400,YEB,"[[10, 1], [11, 5], [12, 1], [13, 1], [8, 5], [9, 5]]",13,8,4231020834002000,2010-08-02
