lake_ID,lake_name,species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
34008600,Big Kandiyohi,BLC,"[[1, 3], [2, 4], [4, 4], [5, 4], [7, 1], [8, 1], [9, 1]]",9,1,118127,1996-07-09
34008600,Big Kandiyohi,YEB,"[[10, 1], [11, 2], [12, 1]]",12,10,118127,1996-07-09
34008600,Big Kandiyohi,LMB,"[[3, 1]]",3,3,118127,1996-07-09
34008600,Big Kandiyohi,CCF,"[[19, 1], [20, 1], [23, 2], [24, 4], [25, 2], [27, 1], [28, 1]]",28,19,118127,1996-07-09
34008600,Big Kandiyohi,BLG,"[[0, 5], [1, 5], [3, 1], [9, 1]]",9,1,118127,1996-07-09
34008600,Big Kandiyohi,HSF,"[[6, 1]]",6,6,118127,1996-07-09
34008600,Big Kandiyohi,WAE,"[[4, 4], [10, 5], [12, 13], [13, 21], [14, 7], [15, 5], [16, 5], [17, 6], [18, 1], [19, 2], [20, 2], [23, 1], [7, 6], [8, 24], [9, 9]]",23,4,118127,1996-07-09
34008600,Big Kandiyohi,CAP,"[[20, 1], [22, 2], [23, 3], [24, 5], [25, 2], [26, 6], [27, 6], [28, 1], [29, 3], [31, 2]]",31,20,118127,1996-07-09
34008600,Big Kandiyohi,WTS,"[[13, 1], [15, 4], [16, 8], [17, 1], [18, 1], [19, 4], [20, 2]]",20,13,118127,1996-07-09
34008600,Big Kandiyohi,BLB,"[[12, 1], [4, 2], [5, 1], [6, 1], [8, 1]]",12,4,118127,1996-07-09
34008600,Big Kandiyohi,NOP,"[[13, 1], [16, 1], [19, 2], [20, 2], [21, 4], [25, 1]]",25,13,118127,1996-07-09
34008600,Big Kandiyohi,OSS,"[[5, 1]]",5,5,118127,1996-07-09
34008600,Big Kandiyohi,YEP,"[[2, 13], [3, 16], [10, 1], [11, 1], [4, 3], [5, 19], [6, 9], [8, 3], [9, 3]]",11,2,118127,1996-07-09
34008600,Big Kandiyohi,NOP,"[[16, 1], [17, 2], [18, 3], [19, 4], [20, 2], [21, 2], [22, 2], [24, 2], [25, 1], [26, 2], [27, 1], [32, 1], [35, 1], [37, 1]]",37,16,118238,2000-07-05
34008600,Big Kandiyohi,BLB,"[[10, 1], [11, 9], [12, 21], [13, 2]]",13,10,118238,2000-07-05
34008600,Big Kandiyohi,CAP,"[[12, 3], [16, 2], [17, 4], [18, 9], [19, 45], [20, 47], [21, 20], [22, 3], [23, 2], [24, 3], [25, 2], [26, 10], [27, 11], [28, 4], [29, 3], [30, 2], [31, 2], [32, 1]]",32,12,118238,2000-07-05
34008600,Big Kandiyohi,WTS,"[[14, 1], [16, 3], [17, 2], [19, 4], [20, 2], [21, 1]]",21,14,118238,2000-07-05
34008600,Big Kandiyohi,YEP,"[[10, 7], [11, 8], [7, 1], [8, 6], [9, 3]]",11,7,118238,2000-07-05
34008600,Big Kandiyohi,BRB,"[[13, 2]]",13,13,118238,2000-07-05
34008600,Big Kandiyohi,CCF,"[[19, 1], [20, 1], [21, 1], [22, 3], [23, 4], [24, 3], [25, 3], [26, 3], [28, 3], [29, 1]]",29,19,118238,2000-07-05
34008600,Big Kandiyohi,SMB,"[[10, 2], [11, 2], [15, 1], [6, 1]]",15,6,118238,2000-07-05
34008600,Big Kandiyohi,YEB,"[[13, 1], [14, 1]]",14,13,118238,2000-07-05
34008600,Big Kandiyohi,BLC,"[[10, 4], [11, 1], [5, 1]]",11,5,118238,2000-07-05
34008600,Big Kandiyohi,WAE,"[[10, 6], [11, 3], [12, 6], [13, 4], [14, 5], [15, 5], [16, 5], [17, 2], [18, 2], [20, 2], [21, 2], [23, 1], [24, 1], [6, 3], [7, 5]]",24,6,118238,2000-07-05
34008600,Big Kandiyohi,BLG,"[[5, 1], [6, 6], [7, 2]]",7,5,118238,2000-07-05
34008600,Big Kandiyohi,LMB,"[[15, 1]]",15,15,870632546878000,2006-07-17
34008600,Big Kandiyohi,CCF,"[[16, 1], [19, 1], [20, 1], [21, 3], [24, 2], [25, 1]]",25,16,870632546878000,2006-07-17
34008600,Big Kandiyohi,SMB,"[[13, 1], [15, 1], [8, 1]]",15,8,870632546878000,2006-07-17
34008600,Big Kandiyohi,BLC,"[[10, 2], [11, 2], [5, 1], [6, 9], [7, 3], [9, 1]]",11,5,870632546878000,2006-07-17
34008600,Big Kandiyohi,WAE,"[[4, 5], [5, 41], [6, 14], [10, 11], [11, 27], [12, 14], [13, 13], [14, 8], [15, 7], [16, 7], [17, 4], [18, 4], [19, 1], [20, 2], [21, 2], [22, 3], [23, 1], [24, 1], [25, 3], [26, 3], [27, 1], [8, 1], [9, 7]]",27,4,870632546878000,2006-07-17
34008600,Big Kandiyohi,BLG,"[[10, 1], [3, 1], [4, 9], [5, 1], [6, 5], [7, 3], [8, 3], [9, 1]]",10,3,870632546878000,2006-07-17
34008600,Big Kandiyohi,NOP,"[[19, 1], [21, 1], [24, 1], [25, 2], [29, 1], [30, 1], [31, 1], [32, 1], [33, 1]]",33,19,870632546878000,2006-07-17
34008600,Big Kandiyohi,BLB,"[[10, 7], [11, 57], [12, 11], [17, 4], [20, 1], [4, 8], [5, 10], [6, 5], [7, 1], [9, 1]]",20,4,870632546878000,2006-07-17
34008600,Big Kandiyohi,WTS,"[[16, 7], [17, 12], [18, 8], [19, 1], [20, 1]]",20,16,870632546878000,2006-07-17
34008600,Big Kandiyohi,CAP,"[[16, 11], [17, 29], [18, 37], [19, 37], [20, 27], [21, 20], [22, 15], [23, 5], [24, 4], [25, 8], [26, 9], [27, 3], [28, 2], [31, 1], [32, 1], [33, 1]]",33,16,870632546878000,2006-07-17
34008600,Big Kandiyohi,YEP,"[[10, 25], [11, 11], [6, 5], [7, 2], [8, 4], [9, 13]]",11,6,870632546878000,2006-07-17
34008600,Big Kandiyohi,BIB,"[[10, 3], [11, 1], [9, 3]]",11,9,870632546878000,2006-07-17
34008600,Big Kandiyohi,BRB,"[[11, 1], [13, 2]]",13,11,870632546878000,2006-07-17
34008600,Big Kandiyohi,BLG,"[[4, 1], [5, 7], [6, 5], [7, 1], [8, 5], [9, 2]]",9,4,118339,2004-07-26
34008600,Big Kandiyohi,WAE,"[[10, 13], [11, 7], [12, 4], [13, 3], [14, 1], [15, 1], [18, 1], [19, 1], [21, 1], [23, 1], [25, 1], [28, 1], [6, 3], [7, 4], [9, 14]]",28,6,118339,2004-07-26
34008600,Big Kandiyohi,BLC,"[[10, 1], [11, 1], [12, 1], [8, 1]]",12,8,118339,2004-07-26
34008600,Big Kandiyohi,YEB,"[[10, 1]]",10,10,118339,2004-07-26
34008600,Big Kandiyohi,SMB,"[[5, 1]]",5,5,118339,2004-07-26
34008600,Big Kandiyohi,CCF,"[[13, 1], [16, 2], [26, 1], [27, 1], [9, 1]]",27,9,118339,2004-07-26
