species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
QBS,"[[12, 1]]",12,12,117667,1998-06-01
WAE,"[[5, 96], [6, 278], [7, 111], [8, 7], [10, 60], [11, 74], [12, 221], [13, 119], [14, 58], [15, 18], [16, 6], [17, 5], [18, 7], [19, 8], [20, 6], [21, 5], [22, 10], [23, 3], [24, 1], [25, 2], [26, 1], [27, 1], [28, 1], [29, 1], [6, 2], [7, 4], [8, 2], [9, 33]]",29,5,117667,1998-06-01
PMK,"[[5, 2]]",5,5,117667,1998-06-01
GLR,"[[12, 1], [13, 1], [19, 2]]",19,12,117667,1998-06-01
YEB,"[[10, 12], [11, 7], [12, 9], [13, 6], [14, 3], [8, 1], [9, 4]]",14,8,117667,1998-06-01
WTS,"[[11, 1], [13, 1], [14, 2], [15, 6], [16, 17], [17, 39], [18, 20], [19, 8], [20, 14], [21, 3], [7, 1], [9, 1]]",21,7,117667,1998-06-01
YEP,"[[10, 433], [11, 131], [12, 1], [4, 3], [5, 5], [6, 82], [7, 291], [8, 193], [9, 222]]",12,4,117667,1998-06-01
WHB,"[[14, 1], [5, 1], [6, 11], [7, 8]]",14,5,117667,1998-06-01
RKB,"[[4, 1], [5, 1], [6, 3], [7, 4]]",7,4,117667,1998-06-01
FRD,"[[10, 50], [11, 24], [12, 172], [13, 75], [14, 5], [15, 3], [16, 3], [17, 1], [18, 4], [19, 1], [20, 4], [21, 5], [22, 1], [25, 2], [4, 2], [5, 96], [6, 92], [7, 5], [9, 19]]",25,4,117667,1998-06-01
BIB,"[[5, 1], [6, 3]]",6,5,117667,1998-06-01
BLC,"[[10, 3], [3, 7], [4, 26], [5, 4], [7, 5], [8, 3], [9, 3]]",10,3,117667,1998-06-01
LMB,"[[6, 2]]",6,6,117667,1998-06-01
SHR,"[[12, 1], [13, 3], [14, 1], [16, 3], [17, 2], [18, 1], [19, 1], [20, 2], [21, 4], [8, 2], [9, 3]]",21,8,117667,1998-06-01
NOP,"[[10, 1], [19, 1], [22, 1], [23, 3]]",23,10,117667,1998-06-01
CAP,"[[10, 6], [11, 4], [14, 1], [15, 2], [16, 3], [17, 4], [18, 1], [20, 2], [21, 1], [22, 3], [23, 1], [24, 1], [25, 2], [27, 2], [28, 1], [29, 2], [30, 2], [31, 1], [32, 2], [8, 1]]",32,8,117667,1998-06-01
BLB,"[[10, 5], [11, 1], [12, 12], [13, 11], [14, 3], [16, 1], [5, 1], [8, 2]]",16,5,117667,1998-06-01
BRB,"[[14, 1]]",14,14,117667,1998-06-01
CCF,"[[24, 1], [8, 1], [9, 4]]",24,8,117667,1998-06-01
BLG,"[[7, 1], [8, 2]]",8,7,117667,1998-06-01
GLR,"[[15, 2], [16, 1], [8, 1], [9, 2]]",16,8,1220635339524000,2006-09-24
WTS,"[[10, 6], [11, 12], [12, 11], [13, 5], [14, 9], [15, 3], [16, 13], [17, 8], [18, 7], [19, 5], [20, 1], [21, 1]]",21,10,1220635339524000,2006-09-24
QBS,"[[11, 1], [13, 2], [18, 1]]",18,11,1220635339524000,2006-09-24
WAE,"[[2, 9], [3, 4], [4, 47], [5, 55], [6, 20], [7, 9], [8, 1], [10, 37], [11, 122], [12, 93], [13, 27], [14, 22], [15, 53], [16, 45], [17, 25], [18, 11], [19, 11], [20, 8], [21, 6], [22, 2], [23, 1], [25, 1], [7, 2], [8, 1], [9, 3]]",25,2,1220635339524000,2006-09-24
BRB,"[[15, 1]]",15,15,1220635339524000,2006-09-24
BLB,"[[10, 21], [11, 8], [12, 4], [6, 1], [7, 2], [8, 9], [9, 23]]",12,6,1220635339524000,2006-09-24
CRP,"[[1, 2]]",1,1,1220635339524000,2006-09-24
BLG,"[[0, 11], [1, 227], [2, 129], [1, 1], [5, 1], [6, 3], [7, 2], [8, 1]]",8,1,1220635339524000,2006-09-24
CCF,"[[9, 1]]",9,9,1220635339524000,2006-09-24
FRD,"[[10, 126], [11, 3], [13, 5], [14, 12], [15, 19], [16, 5], [4, 16], [5, 331], [6, 11], [8, 22], [9, 386]]",16,4,1220635339524000,2006-09-24
RKB,"[[6, 2], [7, 1]]",7,6,1220635339524000,2006-09-24
WHB,"[[10, 32], [11, 149], [12, 8], [13, 1], [14, 5], [5, 1], [6, 16], [7, 11], [1, 1], [2, 1], [3, 6], [6, 3], [7, 3]]",14,1,1220635339524000,2006-09-24
YEP,"[[10, 31], [11, 13], [12, 3], [6, 1], [7, 23], [8, 39], [9, 13], [1, 277], [2, 655], [3, 227], [4, 50]]",12,1,1220635339524000,2006-09-24
BLC,"[[1, 5], [2, 17], [3, 7], [4, 1], [3, 1], [4, 2], [7, 4], [8, 4]]",8,1,1220635339524000,2006-09-24
BIB,"[[13, 8], [14, 6], [15, 2], [4, 1], [6, 2], [7, 1]]",15,4,1220635339524000,2006-09-24
SHR,"[[11, 1], [15, 1], [16, 2], [17, 3], [18, 5], [19, 4], [5, 1], [8, 1]]",19,5,1220635339524000,2006-09-24
NOP,"[[19, 1], [20, 1], [21, 1], [22, 3], [25, 1], [29, 1], [30, 1], [37, 1], [11, 1], [5, 1], [8, 1]]",37,5,1220635339524000,2006-09-24
LMB,"[[1, 8], [2, 14], [3, 59], [4, 41], [5, 11], [11, 1], [5, 3]]",11,1,1220635339524000,2006-09-24
CAP,"[[15, 1], [16, 1], [18, 1], [19, 1], [9, 1]]",19,9,1220635339524000,2006-09-24
QBS,"[[10, 4], [11, 1], [5, 4], [9, 6]]",11,5,1220717066046001,2007-09-24
WAE,"[[1, 5], [2, 70], [3, 2], [4, 21], [5, 98], [6, 32], [7, 4], [8, 2], [10, 2], [11, 26], [12, 47], [13, 26], [14, 53], [15, 86], [16, 55], [17, 43], [18, 21], [19, 12], [20, 7], [21, 1], [23, 1], [24, 1], [7, 1], [8, 1]]",24,1,1220717066046001,2007-09-24
YEB,"[[10, 1], [11, 1], [12, 1]]",12,10,1220717066046001,2007-09-24
WTS,"[[1, 64], [10, 1], [11, 1], [12, 4], [13, 5], [14, 4], [15, 3], [16, 18], [17, 11], [18, 8], [19, 3], [8, 2], [9, 1]]",19,1,1220717066046001,2007-09-24
GLR,"[[13, 5], [19, 1], [8, 1]]",19,8,1220717066046001,2007-09-24
BIB,"[[0, 28]]",0,0,1220717066046001,2007-09-24
BLC,"[[4, 1]]",4,4,1220717066046001,2007-09-24
WHB,"[[11, 7], [12, 103], [13, 101], [14, 3], [15, 1], [16, 2], [4, 6], [5, 26], [6, 48], [7, 13], [1, 10424], [2, 62], [3, 3102], [4, 1059], [5, 4], [6, 6], [7, 1]]",16,1,1220717066046001,2007-09-24
YEP,"[[10, 49], [11, 21], [5, 3], [6, 8], [7, 260], [8, 192], [9, 38], [1, 1413], [2, 196]]",11,1,1220717066046001,2007-09-24
RKB,"[[5, 2], [6, 1]]",6,5,1220717066046001,2007-09-24
FRD,"[[10, 5], [11, 9], [12, 35], [13, 4], [14, 17], [15, 8], [16, 2], [4, 1], [5, 61], [6, 10]]",16,4,1220717066046001,2007-09-24
CAP,"[[10, 1], [17, 1], [19, 1], [22, 1], [23, 1], [29, 3], [31, 1], [5, 1], [7, 1]]",31,5,1220717066046001,2007-09-24
LMB,"[[11, 1]]",11,11,1220717066046001,2007-09-24
SHR,"[[10, 5], [18, 2], [19, 3], [20, 5], [6, 2], [7, 2], [8, 4], [9, 3]]",20,6,1220717066046001,2007-09-24
NOP,"[[18, 2], [21, 1], [22, 1], [24, 1], [25, 4], [27, 1], [28, 1], [4, 1], [5, 1]]",28,4,1220717066046001,2007-09-24
BLB,"[[10, 9], [11, 5], [12, 4], [5, 1], [6, 1], [7, 1], [8, 3], [9, 8]]",12,5,1220717066046001,2007-09-24
TPM,"[[3, 1]]",3,3,1220717066046001,2007-09-24
CCF,"[[12, 1]]",12,12,1220717066046001,2007-09-24
BLG,"[[7, 2]]",7,7,1220717066046001,2007-09-24
QBS,"[[10, 1], [11, 1], [18, 1], [9, 1]]",18,9,2691018033794000,2010-06-29
EMS,"[[4, 1]]",4,4,2691018033794000,2010-06-29
WAE,"[[2, 2], [5, 5], [6, 5], [7, 1], [10, 35], [11, 45], [12, 33], [13, 11], [14, 25], [15, 27], [16, 16], [17, 13], [18, 2], [19, 7], [20, 3], [21, 3], [22, 2], [23, 2], [25, 1], [7, 2], [8, 1], [9, 7]]",25,2,2691018033794000,2010-06-29
GLR,"[[12, 4], [13, 1], [14, 2], [15, 2], [6, 1]]",15,6,2691018033794000,2010-06-29
YEB,"[[10, 1], [12, 1], [13, 2]]",13,10,2691018033794000,2010-06-29
WTS,"[[10, 3], [11, 5], [12, 2], [13, 8], [14, 1], [15, 4], [16, 11], [17, 9], [18, 7], [19, 1], [9, 1]]",19,9,2691018033794000,2010-06-29
WHB,"[[10, 2], [11, 3], [12, 46], [13, 51], [14, 28], [15, 3], [5, 10], [6, 31], [7, 7], [1, 1]]",15,1,2691018033794000,2010-06-29
YEP,"[[10, 147], [11, 92], [5, 52], [6, 212], [7, 710], [8, 289], [9, 60], [1, 2163], [2, 317]]",11,1,2691018033794000,2010-06-29
RKB,"[[6, 1], [7, 6], [8, 1]]",8,6,2691018033794000,2010-06-29
FRD,"[[10, 5], [11, 2], [12, 8], [13, 3], [14, 2], [15, 2], [16, 3], [4, 2], [5, 93], [6, 23], [7, 1]]",16,4,2691018033794000,2010-06-29
BLC,"[[10, 1], [3, 2], [4, 3], [6, 5], [7, 2]]",10,3,2691018033794000,2010-06-29
LMB,"[[1, 4], [5, 1]]",5,1,2691018033794000,2010-06-29
NOP,"[[15, 1], [17, 2], [18, 1], [21, 1], [22, 1], [23, 1], [24, 1], [26, 1], [28, 4], [29, 3], [30, 2], [31, 2], [35, 1], [36, 1]]",36,15,2691018033794000,2010-06-29
SHR,"[[10, 5], [11, 1], [12, 5], [13, 4], [14, 2], [15, 2], [16, 4], [17, 3], [19, 1], [7, 2], [9, 5]]",19,7,2691018033794000,2010-06-29
CAP,"[[10, 3], [27, 1], [8, 1], [9, 1]]",27,8,2691018033794000,2010-06-29
SNG,"[[22, 1]]",22,22,2691018033794000,2010-06-29
BLB,"[[13, 1], [15, 1], [5, 3], [6, 1], [7, 1], [9, 2]]",15,5,2691018033794000,2010-06-29
CCF,"[[11, 1], [12, 1], [29, 1], [30, 1]]",30,11,2691018033794000,2010-06-29
BLG,"[[4, 2], [5, 12], [6, 8]]",6,4,2691018033794000,2010-06-29
BLB,"[[10, 5], [11, 1], [13, 1], [5, 1], [6, 17], [7, 14], [8, 20], [9, 9]]",13,5,2691120640374000,2011-07-25
BRB,"[[10, 1], [8, 2], [9, 2]]",10,8,2691120640374000,2011-07-25
BLG,"[[5, 1]]",5,5,2691120640374000,2011-07-25
CCF,"[[16, 1]]",16,16,2691120640374000,2011-07-25
BIB,"[[14, 1], [6, 5], [7, 1]]",14,6,2691120640374000,2011-07-25
BLC,"[[1, 1], [4, 1], [6, 2], [7, 12], [8, 1]]",8,1,2691120640374000,2011-07-25
YEP,"[[10, 45], [11, 13], [12, 2], [5, 113], [6, 437], [7, 608], [8, 214], [9, 140], [1, 8], [2, 248], [3, 11]]",12,1,2691120640374000,2011-07-25
WHB,"[[10, 1], [11, 3], [13, 3], [14, 5], [15, 2], [16, 3], [4, 2], [5, 9], [6, 101], [7, 14], [2, 750], [3, 1580]]",16,2,2691120640374000,2011-07-25
RKB,"[[7, 1]]",7,7,2691120640374000,2011-07-25
FRD,"[[10, 4], [14, 1], [15, 6], [17, 1], [4, 13], [5, 152], [6, 20], [8, 1], [9, 3]]",17,4,2691120640374000,2011-07-25
CAP,"[[10, 2], [29, 1], [6, 1], [7, 3], [8, 2], [9, 2]]",29,6,2691120640374000,2011-07-25
LMB,"[[1, 21], [2, 82], [3, 8]]",3,1,2691120640374000,2011-07-25
SHR,"[[10, 1], [11, 2], [14, 1], [15, 4], [16, 2], [18, 1], [19, 1], [8, 2], [9, 3]]",19,8,2691120640374000,2011-07-25
NOP,"[[14, 1], [21, 1], [22, 1], [23, 1], [24, 3], [26, 2], [28, 1], [33, 1], [35, 1]]",35,14,2691120640374000,2011-07-25
YEB,"[[10, 1], [12, 1], [14, 1], [8, 1], [9, 1]]",14,8,2691120640374000,2011-07-25
WTS,"[[10, 5], [11, 1], [12, 4], [14, 4], [15, 4], [16, 7], [17, 9], [18, 3], [19, 1]]",19,10,2691120640374000,2011-07-25
GLR,"[[10, 2], [6, 1], [9, 1]]",10,6,2691120640374000,2011-07-25
WAE,"[[4, 6], [5, 15], [6, 13], [7, 5], [11, 5], [12, 23], [13, 27], [14, 29], [15, 74], [16, 45], [17, 20], [18, 12], [19, 18], [20, 3], [21, 4], [22, 1], [23, 4], [24, 1], [25, 2], [7, 3], [8, 2]]",25,4,2691120640374000,2011-07-25
CAP,"[[10, 2], [17, 1], [19, 2], [20, 1], [8, 2], [9, 1]]",20,8,8011218154787050,2012-06-22
LMB,"[[10, 1]]",10,10,8011218154787050,2012-06-22
NOP,"[[18, 1], [19, 3], [20, 3], [21, 1], [22, 3], [23, 4], [24, 2], [25, 2], [26, 1], [31, 1], [33, 1], [35, 1]]",35,18,8011218154787050,2012-06-22
SHR,"[[12, 2], [13, 2], [14, 1], [15, 3], [16, 5], [18, 4], [19, 1], [9, 1]]",19,9,8011218154787050,2012-06-22
BLC,"[[4, 4], [7, 6], [8, 3]]",8,4,8011218154787050,2012-06-22
WHB,"[[10, 43], [11, 20], [12, 1], [13, 5], [14, 5], [15, 12], [16, 2], [5, 3], [6, 13], [7, 4], [9, 5], [1, 1]]",16,1,8011218154787050,2012-06-22
YEP,"[[10, 102], [11, 5], [5, 34], [6, 93], [7, 144], [8, 215], [9, 410], [1, 227]]",11,1,8011218154787050,2012-06-22
RKB,"[[7, 1], [8, 1]]",8,7,8011218154787050,2012-06-22
FRD,"[[10, 27], [12, 9], [13, 18], [14, 5], [16, 9], [18, 2], [4, 3], [5, 29], [6, 29], [7, 1], [8, 5], [9, 70]]",18,4,8011218154787050,2012-06-22
CCF,"[[14, 1]]",14,14,8011218154787050,2012-06-22
BLB,"[[10, 9], [11, 7], [12, 8], [13, 2], [4, 3], [5, 21], [6, 6], [7, 6], [8, 14], [9, 11]]",13,4,8011218154787050,2012-06-22
BRB,"[[10, 3], [11, 4], [12, 3], [13, 1], [15, 2], [9, 1]]",15,9,8011218154787050,2012-06-22
WAE,"[[6, 8], [7, 3], [10, 11], [11, 14], [12, 13], [13, 4], [14, 8], [15, 20], [16, 30], [17, 23], [18, 21], [19, 25], [20, 6], [21, 3], [23, 1], [25, 1], [26, 1], [7, 5]]",26,6,8011218154787050,2012-06-22
YEB,"[[10, 1], [14, 1], [8, 1]]",14,8,8011218154787050,2012-06-22
WTS,"[[10, 2], [11, 3], [12, 1], [13, 2], [14, 4], [15, 6], [16, 18], [17, 16], [18, 9], [20, 1]]",20,10,8011218154787050,2012-06-22
GLR,"[[10, 2], [11, 1], [12, 1]]",12,10,8011218154787050,2012-06-22
LKS,"[[16, 2], [17, 6], [18, 1], [19, 2], [23, 1]]",23,16,14801620444539000,2016-09-26
HSF,"[[7, 1]]",7,7,14801620444539000,2016-09-26
WAE,"[[4, 1], [5, 3], [6, 14], [7, 24], [8, 3], [11, 1], [12, 2], [13, 7], [14, 19], [15, 34], [16, 22], [17, 11], [18, 11], [19, 13], [20, 3], [21, 4], [22, 2], [23, 3], [24, 1], [25, 4], [26, 2], [27, 2]]",27,4,14801620444539000,2016-09-26
YEB,"[[10, 8], [11, 3], [12, 4], [13, 7], [14, 5], [15, 1], [6, 1], [8, 1], [9, 1]]",15,6,14801620444539000,2016-09-26
WTS,"[[10, 2], [12, 5], [13, 3], [14, 1], [15, 1], [16, 3], [17, 12], [18, 5], [19, 3], [20, 2], [8, 1]]",20,8,14801620444539000,2016-09-26
WHB,"[[11, 2], [12, 2], [13, 8], [14, 7], [15, 3], [16, 1], [3, 269], [4, 57], [5, 6], [6, 29], [7, 22]]",16,3,14801620444539000,2016-09-26
YEP,"[[10, 138], [11, 49], [12, 3], [5, 22], [6, 115], [7, 378], [8, 291], [9, 152], [2, 252], [3, 20]]",12,2,14801620444539000,2016-09-26
FRD,"[[10, 14], [12, 1], [14, 2], [16, 3], [4, 2], [5, 97], [6, 39], [7, 5], [8, 2], [9, 10]]",16,4,14801620444539000,2016-09-26
BLC,"[[1, 12], [2, 115], [4, 6], [10, 3], [6, 5], [7, 7], [9, 3]]",10,1,14801620444539000,2016-09-26
LMB,"[[2, 33], [3, 28], [5, 2], [6, 1], [10, 1], [18, 1]]",18,2,14801620444539000,2016-09-26
SHR,"[[10, 1], [11, 1], [15, 1], [16, 1], [17, 4], [18, 1], [19, 1], [9, 1]]",19,9,14801620444539000,2016-09-26
NOP,"[[23, 1], [25, 1], [26, 1], [27, 1], [29, 2], [14, 1]]",29,14,14801620444539000,2016-09-26
CAP,"[[14, 1], [24, 1], [5, 1], [7, 2], [8, 4], [9, 1]]",24,5,14801620444539000,2016-09-26
BLB,"[[11, 1], [12, 1], [13, 8], [14, 6], [15, 6], [5, 1], [6, 4], [8, 1]]",15,5,14801620444539000,2016-09-26
BRB,"[[13, 2], [14, 4], [15, 3]]",15,13,14801620444539000,2016-09-26
BLG,"[[0, 17], [1, 425], [4, 2], [5, 12], [6, 4], [7, 2], [8, 8]]",8,1,14801620444539000,2016-09-26
YEP,"[[10, 184], [11, 17], [12, 6], [13, 4], [5, 10], [6, 237], [7, 472], [8, 72], [9, 69], [1, 7], [2, 251], [3, 3]]",13,1,117420,1993-05-17
FRD,"[[10, 30], [18, 1], [19, 3], [4, 9], [5, 7], [8, 7], [9, 71]]",19,4,117420,1993-05-17
RKB,"[[6, 1], [8, 2]]",8,6,117420,1993-05-17
BIB,"[[20, 1]]",20,20,117420,1993-05-17
BLC,"[[0, 2], [1, 4], [2, 4], [3, 1], [6, 1], [7, 2], [8, 1]]",8,1,117420,1993-05-17
LMB,"[[1, 1], [11, 3], [12, 1], [14, 1]]",14,1,117420,1993-05-17
NOP,"[[11, 1], [14, 1], [20, 1], [22, 1], [23, 2], [6, 1], [7, 1]]",23,6,117420,1993-05-17
SHR,"[[14, 1], [17, 1], [18, 1], [20, 2]]",20,14,117420,1993-05-17
CAP,"[[13, 1], [14, 1], [17, 2], [18, 2], [19, 1], [21, 1], [23, 1], [24, 3], [25, 4], [26, 2], [27, 2], [28, 4], [30, 2]]",30,13,117420,1993-05-17
BLB,"[[12, 2], [13, 7], [14, 7], [15, 2], [7, 1]]",15,7,117420,1993-05-17
BLG,"[[3, 2], [4, 2], [5, 25], [6, 27], [7, 17], [8, 13], [9, 1]]",9,3,117420,1993-05-17
CCF,"[[28, 1], [29, 1]]",29,28,117420,1993-05-17
QBS,"[[15, 2], [20, 2]]",20,15,117420,1993-05-17
WAE,"[[3, 3], [4, 67], [5, 4], [10, 160], [11, 36], [12, 3], [13, 1], [14, 20], [15, 44], [16, 67], [17, 52], [18, 28], [19, 26], [20, 4], [21, 2], [22, 3], [23, 2], [25, 1], [26, 5], [27, 2], [28, 2], [5, 2], [6, 10], [7, 3], [8, 27], [9, 206]]",28,3,117420,1993-05-17
PMK,"[[6, 1]]",6,6,117420,1993-05-17
GLR,"[[14, 2], [15, 2], [22, 1]]",22,14,117420,1993-05-17
YEB,"[[11, 4], [12, 3], [13, 4], [14, 6]]",14,11,117420,1993-05-17
WTS,"[[10, 3], [11, 4], [12, 2], [13, 2], [14, 2], [15, 5], [16, 12], [17, 41], [18, 21], [19, 9], [20, 3], [21, 1], [9, 1]]",21,9,117420,1993-05-17
QBS,"[[14, 1], [17, 1], [20, 1], [21, 2], [22, 1]]",22,14,117848,2005-06-06
WAE,"[[3, 3], [4, 2], [5, 16], [6, 51], [7, 29], [8, 2], [11, 8], [12, 158], [13, 172], [14, 18], [15, 5], [16, 8], [17, 26], [18, 24], [19, 18], [20, 11], [21, 1], [22, 2], [23, 1], [24, 1], [25, 1], [26, 3], [27, 1], [6, 6], [7, 29], [8, 4]]",27,3,117848,2005-06-06
PMK,"[[4, 1]]",4,4,117848,2005-06-06
WTS,"[[10, 3], [11, 3], [12, 9], [13, 8], [14, 2], [15, 4], [16, 5], [17, 12], [18, 21], [19, 6], [20, 2], [21, 3], [6, 1], [8, 1], [9, 2]]",21,6,117848,2005-06-06
YEB,"[[10, 2], [11, 2], [12, 3], [13, 2], [15, 1]]",15,10,117848,2005-06-06
GLR,"[[11, 3], [12, 3], [13, 2], [14, 3], [15, 3], [17, 2], [18, 1], [19, 2], [20, 1], [8, 1]]",20,8,117848,2005-06-06
BLC,"[[3, 1], [4, 23], [8, 1]]",8,3,117848,2005-06-06
BIB,"[[30, 2], [5, 4], [6, 27], [7, 72], [8, 9]]",30,5,117848,2005-06-06
FRD,"[[13, 13], [14, 51], [15, 32], [16, 10], [18, 2], [19, 5], [20, 1], [21, 3], [22, 5], [23, 2], [24, 1], [30, 1], [4, 18], [5, 834], [6, 352], [9, 1]]",30,4,117848,2005-06-06
RKB,"[[6, 1], [8, 1], [0, 1]]",8,0,117848,2005-06-06
WHB,"[[10, 1], [11, 2], [13, 5], [14, 6], [15, 18], [16, 11], [17, 1], [5, 2], [6, 139], [7, 329], [8, 2], [1, 11], [2, 823], [3, 32]]",17,1,117848,2005-06-06
YEP,"[[10, 102], [11, 17], [12, 3], [13, 1], [5, 3], [6, 22], [7, 227], [8, 317], [9, 80], [2, 2]]",13,2,117848,2005-06-06
CRC,"[[4, 1]]",4,4,117848,2005-06-06
CAP,"[[10, 20], [11, 6], [22, 1], [23, 5], [24, 3], [25, 3], [26, 4], [27, 4], [28, 4], [29, 3], [30, 7], [31, 6], [32, 2], [33, 5], [34, 2], [35, 1], [7, 10], [8, 29], [9, 21]]",35,7,117848,2005-06-06
NOP,"[[14, 1], [15, 1], [16, 1], [17, 1], [21, 2], [22, 2], [23, 1], [24, 1], [25, 3], [28, 1], [29, 1], [32, 1]]",32,14,117848,2005-06-06
SHR,"[[11, 1], [12, 1], [14, 1], [15, 3], [16, 7], [17, 12], [18, 7], [19, 6], [20, 6], [7, 1]]",20,7,117848,2005-06-06
LMB,"[[1, 15], [2, 109], [3, 3], [5, 1], [6, 4], [7, 1]]",7,1,117848,2005-06-06
BRB,"[[14, 1], [15, 1]]",15,14,117848,2005-06-06
BLB,"[[12, 1], [13, 2], [14, 1], [8, 1], [9, 3]]",14,8,117848,2005-06-06
CRP,"[[0, 5]]",0,0,117848,2005-06-06
BLG,"[[0, 9], [1, 8], [10, 2], [4, 1], [5, 7], [6, 1], [7, 5], [8, 2]]",10,1,117848,2005-06-06
CCF,"[[21, 1], [26, 2], [27, 2], [30, 1], [1, 1]]",30,1,117848,2005-06-06
SUN,"[[0, 2], [1, 1]]",1,1,117848,2005-06-06
LMB,"[[2, 49], [3, 32], [5, 1]]",5,2,9491414728880000,2014-05-27
NOP,"[[16, 1], [20, 1], [22, 3], [23, 1], [24, 2], [26, 1], [27, 1], [30, 1], [31, 1], [32, 1], [34, 1], [7, 1]]",34,7,9491414728880000,2014-05-27
SHR,"[[10, 1], [12, 2], [13, 1], [15, 1], [17, 6], [18, 1], [20, 1], [7, 1], [8, 2]]",20,7,9491414728880000,2014-05-27
CAP,"[[12, 1], [21, 1], [24, 3], [27, 2], [29, 1]]",29,12,9491414728880000,2014-05-27
YEP,"[[10, 261], [11, 25], [5, 91], [6, 265], [7, 249], [8, 259], [9, 288], [2, 17]]",11,2,9491414728880000,2014-05-27
WHB,"[[10, 7], [11, 1], [12, 7], [13, 19], [14, 7], [15, 5], [16, 3], [17, 1], [5, 16], [6, 6], [2, 644], [3, 263]]",17,2,9491414728880000,2014-05-27
FRD,"[[10, 4], [12, 1], [13, 8], [14, 4], [15, 6], [16, 3], [17, 1], [18, 1], [5, 17], [6, 4]]",18,5,9491414728880000,2014-05-27
BLC,"[[1, 189], [2, 632], [10, 8], [4, 2], [7, 2], [9, 2]]",10,1,9491414728880000,2014-05-27
CCF,"[[17, 1], [28, 1]]",28,17,9491414728880000,2014-05-27
BLG,"[[0, 65], [1, 497], [4, 1], [7, 16], [8, 44], [9, 7]]",9,1,9491414728880000,2014-05-27
BLB,"[[10, 2], [11, 7], [12, 21], [13, 12], [5, 1], [6, 4], [7, 2], [8, 3], [9, 2]]",13,5,9491414728880000,2014-05-27
BRB,"[[11, 2], [13, 6], [14, 7], [15, 1], [8, 2]]",15,8,9491414728880000,2014-05-27
WAE,"[[3, 1], [4, 2], [5, 53], [6, 53], [7, 7], [11, 3], [12, 8], [13, 6], [14, 6], [15, 7], [16, 9], [17, 6], [18, 7], [19, 3], [20, 2], [21, 3], [22, 2], [23, 3], [25, 1], [26, 1], [7, 1]]",26,3,9491414728880000,2014-05-27
QBS,"[[13, 1]]",13,13,9491414728880000,2014-05-27
GLR,"[[12, 1], [15, 3], [16, 1]]",16,12,9491414728880000,2014-05-27
YEB,"[[10, 5], [12, 5], [13, 4], [14, 3], [15, 3], [8, 2], [9, 2]]",15,8,9491414728880000,2014-05-27
WTS,"[[10, 1], [12, 2], [13, 1], [15, 1], [16, 5], [17, 16], [18, 7], [19, 4], [20, 1], [9, 1]]",20,9,9491414728880000,2014-05-27
GSF,"[[4, 1]]",4,4,9491414728880000,2014-05-27
CAP,"[[10, 6], [11, 2], [4, 1], [5, 1], [6, 1], [7, 4], [8, 11], [9, 7]]",11,4,18442121655214000,2021-09-27
LMB,"[[2, 3], [3, 15], [4, 29], [5, 21], [5, 3], [6, 1]]",6,2,18442121655214000,2021-09-27
SHR,"[[10, 1], [11, 1], [13, 3]]",13,10,18442121655214000,2021-09-27
NOP,"[[22, 1], [24, 2], [25, 1], [29, 1], [33, 1]]",33,22,18442121655214000,2021-09-27
BIB,"[[7, 1]]",7,7,18442121655214000,2021-09-27
BLC,"[[1, 1], [2, 29], [3, 7], [10, 4], [11, 2], [12, 1], [4, 5], [7, 9], [8, 5], [9, 1]]",12,1,18442121655214000,2021-09-27
WHB,"[[10, 5], [11, 3], [12, 9], [13, 3], [14, 10], [15, 4], [16, 3], [6, 1], [7, 2], [8, 1], [3, 1], [4, 9]]",16,3,18442121655214000,2021-09-27
YEP,"[[10, 145], [11, 12], [5, 188], [6, 382], [7, 280], [8, 495], [9, 395], [1, 11], [2, 604], [3, 65]]",11,1,18442121655214000,2021-09-27
FRD,"[[10, 11], [11, 6], [12, 3], [13, 2], [14, 2], [15, 11], [16, 4], [17, 3]]",17,10,18442121655214000,2021-09-27
BLG,"[[1, 2614], [5, 5], [6, 9], [7, 4], [8, 38], [9, 5]]",9,1,18442121655214000,2021-09-27
CCF,"[[13, 1]]",13,13,18442121655214000,2021-09-27
BLB,"[[10, 1], [13, 2], [14, 2], [4, 11], [5, 21]]",14,4,18442121655214000,2021-09-27
BRB,"[[15, 4], [16, 3]]",16,15,18442121655214000,2021-09-27
WAE,"[[5, 1], [13, 5], [14, 7], [15, 1], [16, 1], [17, 1], [18, 6], [19, 6], [20, 4], [21, 4], [22, 2], [23, 4], [24, 1], [26, 1], [27, 1]]",27,5,18442121655214000,2021-09-27
QBS,"[[11, 1], [12, 1]]",12,11,18442121655214000,2021-09-27
LKS,"[[22, 1], [23, 1], [24, 1], [29, 1], [30, 1], [33, 1], [35, 1], [39, 1], [40, 1], [41, 1]]",41,22,18442121655214000,2021-09-27
YEB,"[[10, 1], [13, 3], [14, 2]]",14,10,18442121655214000,2021-09-27
WTS,"[[10, 2], [11, 2], [12, 3], [13, 3], [14, 2], [15, 1], [16, 13], [17, 4], [18, 5], [20, 1]]",20,10,18442121655214000,2021-09-27
CAP,"[[10, 2], [11, 1], [13, 1], [17, 1], [21, 1], [22, 4], [23, 1], [24, 3], [25, 3], [26, 3], [28, 1], [29, 1], [30, 1], [31, 2], [8, 2], [9, 1]]",31,8,117685,1999-05-24
