lake_id,lake_name,lake_county,nearest_town,lake_area,littoral_area,lake_depth,mean_depth,water_access_sites,lake_longitude,lake_latitude
01010100,Long,Aitkin,Palisade,34.66,30.5,42.0,4.0,[],-93.455151,46.647567
01002400,Loon,Aitkin,McGregor,34.19,22.0,21.0,0.0,['was01039'],-93.19039,46.825611
01014900,Mallard,Aitkin,Bennettville,0.0,0.0,0.0,0.0,['was02565'],-93.720115,46.408932
01006800,Mandy,Aitkin,East Lake,0.0,0.0,0.0,0.0,[],-93.338898,46.542246
01019900,McKinney,Aitkin,Swatara,51.61,45.0,33.0,0.0,[],-93.728511,46.878011
48000200,Mille Lacs,Mille Lacs,Garrison,128250.53,33129.0,42.0,28.5,"['was01006', 'was01044', 'was02566', 'was01048', 'was02567', 'was00101', 'was02430', 'was01266', 'was01268', 'was02431', 'was02447', 'was01315', 'was01316']",-93.644061,46.238449
01003300,Minnewawa,Aitkin,McGregor,2351.27,2286.0,21.0,8.2,"['was01041', 'was01049', 'was02450']",-93.257832,46.706504
01012600,Monson,Aitkin,Glory,46.27,31.0,28.0,0.0,[],-93.600525,46.451537
01021200,Moulton,Aitkin,Emily,257.87,220.0,24.0,0.0,['was01040'],-93.773728,46.728088
01002900,Mud,Aitkin,Grayling,0.0,0.0,0.0,0.0,[],0.0,0.0
01003500,Mud,Aitkin,Minnewawa,0.0,0.0,0.0,0.0,[],-93.272697,46.690017
01001000,Nelson,Aitkin,Tamarack,0.0,0.0,0.0,0.0,[],-93.09456,46.623052
01011700,Nord,Aitkin,Aitkin,418.17,272.0,29.0,0.0,['was01045'],-93.652096,46.492194
01019600,Otter,Aitkin,Swatara,0.0,0.0,0.0,0.0,[],-93.745014,46.860053
01008100,Oxbow,Aitkin,Libby,0.0,0.0,0.0,0.0,[],-93.336488,46.85715
01018200,Pickerel,Aitkin,Aitkin,98.94,54.0,34.0,12.0,[],-93.74487,46.52014
01000100,Pine,Aitkin,Finlayson,377.76,96.0,28.0,20.0,['was01035'],-93.077662,46.18604
01016700,Pine Island,Aitkin,Aitkin,41.11,41.11,8.0,0.0,[],-93.760135,46.483418
01006600,Porcupine,Aitkin,Dads Corner,0.0,0.0,0.0,0.0,[],-93.318771,46.379475
01006900,Portage,Aitkin,Kimberly,372.44,313.0,18.0,8.0,['was02060'],-93.41945,46.58624
01014100,Previs,Aitkin,Hill City,16.83,16.83,14.0,0.0,[],-93.581078,47.01347
01009100,Rabbit,Aitkin,Glen,211.61,77.0,51.0,19.0,['was00223'],-93.536789,46.462305
01011800,Raspberry,Aitkin,Aitkin,16.94,16.94,23.0,0.0,[],-93.674948,46.501571
01007700,Rat,Aitkin,Palisade,431.31,389.0,21.0,0.0,[],-93.34635,46.718846
01010700,Red,Aitkin,Palisade,0.0,0.0,0.0,0.0,[],-93.523564,46.742763
01003800,Remote,Aitkin,McGregor,133.66,124.0,47.0,6.0,['was00451'],-93.211629,46.823248
01006700,Rice,Aitkin,Thor,3698.9,3698.88,4.5,0.0,[],-93.371372,46.511763
01014600,Ripple,Aitkin,Aitkin,630.45,295.0,39.0,0.0,['was00370'],-93.669917,46.463557
01007200,Rock,Aitkin,McGregor,341.48,341.48,13.0,0.0,['was00368'],-93.387554,46.629088
01002300,Round,Aitkin,Tamarack,553.5,375.0,27.0,0.0,['was00365'],-93.192058,46.696355
01007000,Round,Aitkin,McGregor,185.04,65.0,52.0,0.0,['was00226'],-93.378693,46.648746
01013700,Round,Aitkin,Aitkin,634.03,475.0,59.0,0.0,['was00366'],-93.652849,46.726364
01020400,Round,Aitkin,Garrison,736.66,322.0,125.0,0.0,['was02224'],-93.803846,46.333776
01006000,Sandy River,Aitkin,Minnewawa,0.0,0.0,0.0,0.0,[],-93.316867,46.717541
01001400,Savanna,Aitkin,McGregor,85.59,63.0,23.0,13.0,['was00452'],-93.183751,46.847613
01011500,Section Ten,Aitkin,Aitkin,435.63,412.0,17.0,7.0,['was00371'],-93.60292,46.485316
01012000,Section Twelve,Aitkin,Rossburg,170.0,89.0,40.0,0.0,['was00372'],-93.583592,46.481328
01011600,Four,Aitkin,Aitkin,137.25,81.0,31.0,8.0,[],-93.63042,46.495417
01002700,Sheriff,Aitkin,Lawler,88.37,44.0,80.0,0.0,[],-93.192045,46.582303
01001500,Shumway,Aitkin,Tamarack,74.18,28.0,23.0,0.0,['was02009'],-93.146413,46.829785
01012900,Sissabagamah,Aitkin,Aitkin,405.82,219.0,37.0,0.0,['was02061'],-93.604618,46.50417
01015600,Spectacle,Aitkin,White Hawk,0.0,0.0,0.0,0.0,[],-93.789552,46.380926
01017800,Spirit,Aitkin,Bennettville,523.41,260.0,49.0,15.0,['was02012'],-93.703789,46.442107
01019000,Starry,Aitkin,Little Pine,81.57,70.0,23.0,0.0,[],-93.762792,46.765387
01002800,Starvation,Aitkin,East Lake,67.2,44.0,32.0,12.0,[],-93.258316,46.566043
01011000,Studhorse,Aitkin,Hill City,0.0,0.0,0.0,0.0,[],-93.558042,46.972003
01008700,Sugar,Aitkin,Glen,415.87,267.0,45.0,0.0,['was00225'],-93.47392,46.415631
01020800,Sunset,Aitkin,Aitkin,221.18,210.0,43.0,0.0,[],-93.809959,46.43606
01009200,Swamp,Aitkin,Glen,271.54,271.54,5.0,5.0,['was00224'],-93.4631,46.440797
01012200,Sweetman,Aitkin,Glory,25.45,14.0,32.0,0.0,[],-93.589522,46.462286
18000200,Long / Tame Fish,Crow Wing,Deerwood (Crow Wing),127.11,52.0,58.0,0.0,[],-93.818833,46.405146
01018600,Tarr,Aitkin,Aitkin,0.0,0.0,0.0,0.0,[],-93.742299,46.506624
01010900,Taylor,Aitkin,Hill City,54.95,17.8,84.0,23.0,['was02010'],-93.512782,46.993124
01016300,Taylor,Aitkin,Aitkin,46.55,25.0,47.0,0.0,[],-93.780968,46.492799
01011400,Thirty-One,Aitkin,Glen,0.0,0.0,0.0,0.0,[],-93.55515,46.424489
01017400,Thornton,Aitkin,Deerwood (Crow Wing),161.3,161.3,21.0,7.0,[],-93.796504,46.454362
01016000,Three,Aitkin,Aitkin,0.0,0.0,0.0,0.0,[],-93.738109,46.498344
01004400,Tiesen,Aitkin,Libby,0.0,0.0,0.0,0.0,[],-93.30578,46.792554
01008300,Townline,Aitkin,Palisade,67.24,25.0,40.0,16.0,[],-93.43655,46.64637
01020700,Townline,Aitkin,Aitkin,114.06,113.18,69.0,0.0,[],-93.811875,46.4544
01007400,Turner,Aitkin,McGregor,63.23,49.0,21.0,8.0,['was00364'],-93.404849,46.610208
01011300,Turtle,Aitkin,Glory,0.0,0.0,0.0,0.0,[],-93.559593,46.450032
01008500,Twenty,Aitkin,Malmo,0.0,0.0,0.0,0.0,['was00123'],-93.528924,46.368638
01008200,Twin,Aitkin,Libby,0.0,0.0,0.0,0.0,[],-93.329133,46.865213
01009500,Unnamed,Aitkin,Glen,0.0,0.0,0.0,0.0,[],0.0,0.0
01005800,Vanduse,Aitkin,Jacobson,239.51,189.0,27.0,8.2,['was00363'],-93.24197,46.975444
01003600,Wakefield,Aitkin,Jacobson,163.92,81.0,69.0,13.0,[],-93.235736,46.848466
01011100,Washburn,Aitkin,Hill City,0.0,0.0,0.0,0.0,['was00359'],-93.462784,46.977625
01013600,Waukenabo,Aitkin,Palisade,667.7,292.0,38.0,0.0,['was00367'],-93.621212,46.734883
01014800,White Elk,Aitkin,Bain,0.0,0.0,0.0,0.0,['was00369'],-93.700516,46.812948
01010200,Wilkins,Aitkin,Palisade,348.86,106.0,39.0,20.0,['was00362'],-93.498832,46.639914
01001900,Wolf,Aitkin,Tamarack,173.43,161.0,31.0,0.0,['was02109'],-93.162966,46.850543
02001400,Amelia,Anoka,Centerville (Anoka),0.0,0.0,0.0,0.0,[],-93.052881,45.131614
62000200,Bald Eagle,Ramsey,White Bear Lake,1049.09,751.0,36.0,13.3,['was01704'],-93.014133,45.118186
02001300,Baldwin,Anoka,Circle Pines,0.0,0.0,0.0,0.0,[],-93.134778,45.139004
02013500,Bass,Anoka,Nowthen,0.0,0.0,0.0,0.0,[],-93.463903,45.335636
02013100,Bear,Anoka,Nowthen,0.0,0.0,0.0,0.0,[],-93.481197,45.347683
02002800,Boot,Anoka,Linwood,91.39,0.0,19.0,0.0,[],-93.125661,45.34066
02009000,Bunker,Anoka,Andover,0.0,0.0,0.0,0.0,[],-93.283412,45.218497
02012200,Burns,Anoka,Elk River,94.93,88.6,18.0,0.0,[],-93.474254,45.378436
02001200,Cedar,Anoka,,0.0,0.0,0.0,0.0,[],0.0,0.0
02000600,Centerville,Anoka,Centerville (Anoka),473.86,276.0,19.0,12.0,['was01709'],-93.069957,45.163308
02001800,Columbus,Anoka,Forest Lake,0.0,0.0,0.0,0.0,[],-93.059097,45.246862
02004200,Coon,Anoka,Soderville,1481.24,1098.2,27.0,10.0,"['was01699', 'was02807']",-93.165141,45.307192
02007000,Coopers,Anoka,Coopers Corner,0.0,0.0,0.0,0.0,[],-93.242386,45.395677
02008400,Crooked,Anoka,Andover,114.93,86.0,26.0,0.0,['was01711'],-93.342993,45.211113
02001900,Crossways,Anoka,Centerville (Anoka),0.0,0.0,0.0,0.0,[],-93.070138,45.228196
02005900,Deer,Anoka,Mort,0.0,0.0,0.0,0.0,[],-93.202204,45.346971
02007501,East Moore,Anoka,Fridley,27.51,22.0,22.0,0.0,['was02924'],-93.243635,45.075722
02013300,East Twin,Anoka,Elk River,91.99,54.0,68.0,0.0,['was02992'],-93.502812,45.334442
02003500,Fawn,Anoka,Stacy,57.79,42.7,23.0,0.0,[],-93.05425,45.407225
02006500,Fish,Anoka,East Bethel,334.29,334.29,10.0,3.0,[],-93.166635,45.403505
02009100,George,Anoka,Saint Francis (Anoka),488.63,391.0,32.0,5.0,['was01211'],-93.336622,45.356235
02000500,George Watch,Anoka,Lino Lakes,0.0,0.0,0.0,0.0,['was01710'],-93.08603,45.175064
02004500,Golden,Anoka,Circle Pines,58.09,51.3,25.0,0.0,['was01708'],-93.153509,45.138445
02009200,Grass,Anoka,Oak Grove,0.0,0.0,0.0,0.0,[],-93.303072,45.357696
02011300,Grass,Anoka,Ramsey (Anoka),0.0,0.0,0.0,0.0,[],-93.426446,45.238537
02005300,Ham,Anoka,Ham Lake,154.63,118.81,22.0,6.0,['was02892'],-93.221802,45.257294
02008100,Hart,Anoka,Saint Anthony (Hennepin),0.0,0.0,0.0,0.0,[],-93.23216,45.036738
02009600,Hickey,Anoka,Oak Grove,0.0,0.0,0.0,0.0,[],-93.344907,45.327988
02001600,Howard,Anoka,Forest Lake,0.0,0.0,0.0,0.0,['was03004'],-93.045365,45.260131
02002200,Island,Anoka,Wyoming,72.69,58.0,22.0,0.0,['was02922'],-93.095998,45.367534
02011000,Itasca,Anoka,Dayton,0.0,0.0,0.0,0.0,[],-93.494385,45.253645
02007200,Laddie,Anoka,Spring Lake Park,66.13,65.29,4.0,0.0,[],-93.240404,45.125048
02002600,Linwood,Anoka,Wyoming,572.1,475.0,42.0,11.0,['was02629'],-93.110034,45.351768
02007700,Locke,Anoka,Fridley,0.0,0.0,0.0,0.0,['was02965'],-93.272066,45.091333
02000700,Marshan,Anoka,Lino Lakes,0.0,0.0,0.0,0.0,[],-93.10972,45.168918
02003400,Martin,Anoka,Wyoming,232.31,140.0,20.0,0.0,['was01209'],-93.084343,45.384582
02008300,McKay,Anoka,Northdale,0.0,0.0,0.0,0.0,[],-93.287699,45.198898
02006700,Minard,Anoka,Coopers Corner,0.0,0.0,0.0,0.0,[],-93.248193,45.40393
02010600,Norris,Anoka,Saint Francis (Anoka),54.18,51.8,21.0,0.0,[],-93.392507,45.378598
02009700,Mud,Anoka,,0.0,0.0,0.0,0.0,[],-93.330663,45.327266
02005200,Netta,Anoka,Lake Netta,0.0,0.0,0.0,0.0,['was02917'],-93.196524,45.274634
02000300,Otter,Anoka,Bald Eagle,302.21,298.82,21.0,6.0,['was00063'],-93.040096,45.1239
02000400,Peltier,Anoka,Centerville (Anoka),551.93,412.0,18.0,0.0,['was01208'],-93.059755,45.183123
02013000,Pickerel,Anoka,Nowthen,0.0,0.0,0.0,0.0,['was02335'],-93.448885,45.338022
02012800,Pinnaker,Anoka,Nowthen,0.0,0.0,0.0,0.0,[],-93.43842,45.366156
02000900,Reshanau,Anoka,Lino Lakes,336.5,336.0,16.0,0.0,[],-93.09978,45.152971
02000800,Rice,Anoka,Circle Pines,0.0,0.0,0.0,0.0,['was00325'],-93.123506,45.153369
02004300,Rice,Anoka,Linwood,0.0,0.0,0.0,0.0,[],-93.141201,45.345317
02010400,Rogers,Anoka,Oak Grove,0.0,0.0,0.0,0.0,[],-93.388366,45.299157
02001500,Rondeau,Anoka,Centerville (Anoka),0.0,0.0,0.0,0.0,[],-93.068338,45.205698
02008900,Round,Anoka,Anoka,0.0,0.0,0.0,0.0,['was00288'],-93.357457,45.239889
02010200,Sand Shore,Anoka,Bethel,0.0,0.0,0.0,0.0,[],-93.275527,45.40026
02008000,Sandy,Anoka,Hilltop,0.0,0.0,0.0,0.0,[],-93.253689,45.062542
62008300,Silver,Ramsey,Columbia Heights,70.84,62.5,47.0,0.0,['was00287'],-93.223448,45.04424
02002500,Skunk,Anoka,Linwood,0.0,0.0,0.0,0.0,[],-93.128658,45.355097
02007100,Spring,Anoka,Spring Lake Park,32.03,51.28,18.0,0.0,[],-93.228407,45.108856
02009800,Swan,Anoka,Cedar,0.0,0.0,0.0,0.0,[],-93.281925,45.318305
