city_name,city_longitude,city_latitude
Alpha,-94.8709624,43.6389343
Minneiska,-91.8718246,44.1949642
Borup,-96.50578543373699,47.180293000000006
Sunburg,-95.2383563,45.3477401
Alberta,-96.0476086,45.5732488
St. Leo,-96.05266568048452,44.7170862
West Union,-95.0834331,45.8008592
Lengby,-95.635869,47.5157697
Georgetown,-96.7946792,47.080225
Holt,-96.1925311,48.2919155
Revere,-95.36058742175871,44.221144
Arco,-96.1836773,44.3835401
Beltrami,-96.5309438,47.542365
Holloway,-95.9081,45.248572
Bruno,-92.6643635,46.2791125
Bejou,-95.9765006,47.441443
Fort Ripley,-94.3602807,46.1660777
Turtle River,-94.7516528,47.587453
Darfur,-94.8380398,44.0513467
New Trier,-92.9340416,44.6013175
Nimrod,-94.8808507,46.638849
Seaforth,-95.3263923,44.4771797
Bock,-93.5569028,45.7849627
Viking,-96.4058607,48.2186364
Nielsville,-96.8164302,47.5273275
Richville,-95.6256,46.506627
Zemple,-93.7854952,47.3230044
Dumont,-96.425703,45.7159115
Lake Henry,-94.7963976,45.4605202
La Salle,-94.5696936,44.0707924
Solway,-95.1291755,47.5199538
Dundee,-95.4669479,43.8469059
Wanda,-95.21306973679592,44.3147721
Genola,-94.11221978305224,45.96428855
Kerrick,-92.5870118,46.3393449
Evan,-94.8409609,44.3540469
Walters,-93.6732896,43.6065243
Whalan,-91.9265426,43.7321864
Spring Hill,-94.8294561,45.524687
Strandquist,-96.4473744,48.4903988
Nassau,-96.4397751,45.0663534
Wolf Lake,-95.3525318,46.8030154
Clitherall,-95.631156,46.274961
Sargeant,-92.8014629,43.8052377
Nashua,-96.3073369964628,46.0362495
Tintah,-96.31837321654808,46.0099631
Kent,-96.684799,46.436349
Kenneth,-96.0725126,43.7538536
Manhattan Beach,-94.134704,46.728294
Cedar Mills,-94.5224891,44.9430175
Ihlen,-96.368846,43.908394
Tamarack,-93.12204839936821,46.6487516
Vining,-95.5371263,46.2631511
Henriette,-93.117437,45.8716237
Farwell,-95.6172677,45.7521819
Taopi,-92.642188,43.5582485
Halma,-96.6003837,48.6610529
Wilder,-95.1974943,43.8266246
Gully,-95.622795,47.768569
St. Rosa,-94.71606535142277,45.729248
Dovray,-95.5498853,44.0528282
Hadley,-95.8539077,44.0010355
Mizpah,-94.2038765,47.9241673
Hazel Run,-95.7150245,44.7519019
Manchester,-93.449435,43.7240781
Hatfield,-96.1953064,43.957469
Leonidas,-92.5718506,47.4615949
Norcross,-96.1977769,45.8689785
St. Vincent,-97.22772396171496,48.968497299999996
Urbank,-95.5119862,46.122739
Myrtle,-93.1635346,43.5644039
Delhi,-95.211113,44.5991256
Leonard,-95.2722308,47.6519
Sedan,-95.2480847,45.5755186
McGrath,-93.2729051,46.2400439
Westport,-95.1672511,45.7149637
Regal,-94.8452502,45.4068106
Humboldt,-97.0935431,48.9212432
Trail,-95.6931315,47.7794012
Denham,-92.9429827,46.3638345
Doran,-96.4824663,46.1843106
Aldrich,-94.9366889,46.3763513
Cobden,-94.8488756,44.2863491
Louisburg,-96.1711592,45.1660744
Strathcona,-96.1689071,48.5538633
Boy River,-94.1221838,47.1680106
Correll,-96.1594947,45.2307969
Florence,-96.0519726,44.2371877
Johnson,-96.2951169,45.5729819
Hillman,-93.8938677,46.0041301
Donaldson,-96.8964437,48.5723691
Barry,-96.5591953,45.5588066
Funkley,-94.431348,47.7835661
Kinbrae,-95.4872265,43.8257951
