Lake ID,Lake Name,Lake County,Nearest Town,Lake Coordinates,Administrator of Site,Lake Area,Lake Depth
01004000,Aitkin,Aitkin,Libby,"[-93.289871, 46.804042]",,658.82,35
01003100,Anderson,Aitkin,Sheshebee,"[-93.232645, 46.737721]",,91.34,16
