01004000,Aitkin,0.33,0.50,Standard gill nets,3,1.0-38.0,0.3-0.7,BLB,113105,1977-06-22,1,0.5
01004000,Aitkin,36.00,0.23,Standard gill nets,3,3.8-22.8,0.1-0.2,YEP,113105,1977-06-22,108,24.7
01004000,Aitkin,82.67,0.29,Standard gill nets,3,0.7-4.5,0.4-0.9,BRB,113105,1977-06-22,248,72
01004000,Aitkin,0.83,1.16,Standard trap nets,6,0.3-1.1,1.2-3.4,WAE,113105,1977-06-22,5,5.8
01004000,Aitkin,2.33,0.23,Standard trap nets,6,1.5-6.8,0.1-0.3,PMK,113105,1977-06-22,14,3.2
01004000,Aitkin,0.17,0.10,Standard trap nets,6,4.0-28.1,0.1-0.3,BLG,113105,1977-06-22,1,0.1
01004000,Aitkin,0.67,3.92,Standard trap nets,6,0.3-1.2,3.3-5.5,BOF,113105,1977-06-22,4,15.7
01004000,Aitkin,0.17,0.40,Standard trap nets,6,0.7-4.3,0.2-0.6,BLC,113105,1977-06-22,1,0.4
01004000,Aitkin,0.22,0.82,Standard trap nets,9,0.5-4.3,0.5-0.9,BRB,970818551751003,2008-07-14,2,748
01004000,Aitkin,0.22,0.27,Standard trap nets,9,0.5-3.3,0.1-0.2,YEP,970818551751003,2008-07-14,2,247
01004000,Aitkin,0.50,0.74,Standard gill nets,6,0.6-7.0,0.3-0.7,YEB,970818551751003,2008-07-14,3,1001
01004000,Aitkin,4.33,1.47,Standard gill nets,6,3.6-11.0,1.3-2.3,NOP,970818551751003,2008-07-14,26,17367
01004000,Aitkin,2.89,0.93,Standard trap nets,9,1.4-5.0,0.4-0.8,YEB,970818551751003,2008-07-14,26,10959
01004000,Aitkin,1.11,1.63,Standard trap nets,9,N/A,N/A,NOP,970818551751003,2008-07-14,10,7400
01004000,Aitkin,0.33,2.59,Standard gill nets,6,0.2-2.2,1.5-1.9,SHR,970818551751003,2008-07-14,2,2349
01004000,Aitkin,0.33,3.46,Standard gill nets,6,1.0-3.2,1.0-2.1,WAE,970818551751003,2008-07-14,2,3143
01004000,Aitkin,0.33,1.19,Standard gill nets,6,0.3-0.9,0.6-1.5,LMB,970818551751003,2008-07-14,2,1084
01004000,Aitkin,1.00,0.40,Standard gill nets,6,N/A,N/A,BLG,970818551751003,2008-07-14,6,1081
01004000,Aitkin,0.83,0.14,Standard gill nets,6,N/A,N/A,PMK,970818551751003,2008-07-14,5,320
01004000,Aitkin,0.17,8.71,Standard gill nets,6,0.2-0.7,2.9-4.6,BOF,970818551751003,2008-07-14,1,3950
01004000,Aitkin,1.33,0.21,Standard gill nets,6,1.0-10.5,0.2-0.3,BLC,970818551751003,2008-07-14,8,773
01004000,Aitkin,5.67,0.19,Standard gill nets,6,3.8-22.8,0.1-0.2,YEP,970818551751003,2008-07-14,34,2987
01004000,Aitkin,0.50,1.23,Standard gill nets,6,0.7-4.5,0.4-0.9,BRB,970818551751003,2008-07-14,3,1679
01004000,Aitkin,0.22,2.62,Standard trap nets,9,0.3-1.1,1.2-3.4,WAE,970818551751003,2008-07-14,2,2378
01004000,Aitkin,0.33,2.37,Standard trap nets,9,0.2-0.6,0.2-1.0,LMB,970818551751003,2008-07-14,3,3222
01004000,Aitkin,2.78,0.31,Standard trap nets,9,1.5-6.8,0.1-0.3,PMK,970818551751003,2008-07-14,25,3500
01004000,Aitkin,9.78,0.42,Standard trap nets,9,4.0-28.1,0.1-0.3,BLG,970818551751003,2008-07-14,88,16869
01004000,Aitkin,2.67,4.73,Standard trap nets,9,0.3-1.2,3.3-5.5,BOF,970818551751003,2008-07-14,24,51504
01004000,Aitkin,0.56,0.34,Standard trap nets,9,0.7-4.3,0.2-0.6,BLC,970818551751003,2008-07-14,5,773
01004000,Aitkin,9.29,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,PMK,13731619451675000,2016-07-13,13,0
01004000,Aitkin,0.09,0.00,15-ft beach seine,11,N/A,N/A,FND,13731619451675000,2016-07-13,1,0
01004000,Aitkin,0.71,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,IOD,13731619451675000,2016-07-13,1,0
01004000,Aitkin,5.72,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,BLG,13731619451675000,2016-07-13,8,0
01004000,Aitkin,7.14,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,LMB,13731619451675000,2016-07-13,10,0
01004000,Aitkin,3.57,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,YEP,13731619451675000,2016-07-13,5,0
01004000,Aitkin,3.57,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,JND,13731619451675000,2016-07-13,5,0
01004000,Aitkin,0.71,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,NOP,13731619451675000,2016-07-13,1,0
01004000,Aitkin,0.71,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,TPM,13731619451675000,2016-07-13,1,0
01004000,Aitkin,5.72,0.00,Backpack electrofishing,1.39972222222222,N/A,N/A,CNM,13731619451675000,2016-07-13,8,0
01004000,Aitkin,0.36,0.00,15-ft beach seine,11,N/A,N/A,BLG,13731619451675000,2016-07-13,4,0
01004000,Aitkin,1.36,0.00,15-ft beach seine,11,N/A,N/A,LMB,13731619451675000,2016-07-13,15,0
01004000,Aitkin,0.09,0.00,15-ft beach seine,11,N/A,N/A,YEP,13731619451675000,2016-07-13,1,0
01004000,Aitkin,0.27,0.00,15-ft beach seine,11,N/A,N/A,NOP,13731619451675000,2016-07-13,3,0
01004000,Aitkin,0.09,0.00,15-ft beach seine,11,N/A,N/A,BLC,13731619451675000,2016-07-13,1,0
01004000,Aitkin,0.33,0.67,Standard trap nets,9,0.5-11.3,0.3-0.8,BLB,113362,1993-07-12,3,909
01004000,Aitkin,1.11,0.71,Standard trap nets,9,0.5-4.3,0.5-0.9,BRB,113362,1993-07-12,10,3231
01004000,Aitkin,1.89,0.21,Standard trap nets,9,0.5-3.3,0.1-0.2,YEP,113362,1993-07-12,17,1626
01004000,Aitkin,0.17,0.59,Standard gill nets,6,0.6-7.0,0.3-0.7,YEB,113362,1993-07-12,1,267
01004000,Aitkin,8.67,0.90,Standard gill nets,6,3.6-11.0,1.3-2.3,NOP,113362,1993-07-12,52,21299
01004000,Aitkin,14.67,0.00,Survey seining,3,N/A,N/A,OTM,113362,1993-07-12,44,0
01004000,Aitkin,0.33,0.70,Standard trap nets,9,1.4-5.0,0.4-0.8,YEB,113362,1993-07-12,3,956
01004000,Aitkin,0.67,0.97,Standard trap nets,9,N/A,N/A,NOP,113362,1993-07-12,6,2634
01004000,Aitkin,0.67,2.09,Standard gill nets,6,0.2-2.2,1.5-1.9,SHR,113362,1993-07-12,4,3792
01004000,Aitkin,1.67,0.00,Survey seining,3,N/A,N/A,LMB,113362,1993-07-12,5,0
