county,lake_id,other_info
Aitkin,01001200,Unnamed Louma    
Aitkin,01002000,Unnamed    
Aitkin,01002100,Unnamed    
Aitkin,01003700,Unnamed    
Aitkin,01003900,Unnamed    
Aitkin,01004300,Unnamed    
Aitkin,01005000,Unnamed    
Aitkin,01005400,Unnamed    
Aitkin,01008200,Unnamed    
Aitkin,01008400,Unnamed Sugar    
Aitkin,01009500,Unnamed    
Aitkin,01005800,Vanduse    
Aitkin,01003600,Wakefield    
Aitkin,01011100,Washburn    
Aitkin,01013600,Waukenabo    
Aitkin,01010300,Whispering    
Aitkin,01014800,White Elk    
Aitkin,01010200,Wilkins    
Aitkin,01001900,Wolf    
Anoka,02001400,Lino Lakes Amelia    
Anoka,02006300,East Bethel Anderson    
Anoka,62000200,Lino Lakes Bald Eagle    
Anoka,02001300,Circle Pines Baldwin   
Anoka,02001300,Lino Lakes Baldwin   
Anoka,02013500,Nowthen Bass Fish    
Anoka,02013100,Nowthen Bear Goose    
Anoka,02013600,Oak Grove Benjamin Unnamed    
Anoka,02013600,Nowthen Benjamin Unnamed    
Anoka,02002800,Linwood Twp Boot    
Anoka,02009000,Andover Bunker    
Anoka,02012200,Nowthen Burns Neds    
Anoka,02001200,Lino Lakes Cedar    
Anoka,02000600,Centerville Centerville  
Anoka,02000600,Lino Lakes Centerville   
Anoka,02001800,Columbus Columbus    
Anoka,02004200,East Bethel Coon    
Anoka,02004200,Columbus Coon    
Anoka,02004200,Ham Lake Coon    
Anoka,02004200,Linwood Twp Coon    
Anoka,02007000,East Bethel Coopers    
Anoka,02008400,Coon Rapids Crooked  
Anoka,02008400,Andover Crooked    
Anoka,02001900,Columbus Crossways    
Anoka,02005900,East Bethel Deer    
Anoka,02005800,East Bethel Devil    
Anoka,02007501,Fridley East Moore   
Anoka,02013300,Nowthen East Twin Anderson    
Anoka,02010900,Ramsey Eddy Shack Eddy    
Anoka,02012900,Nowthen Ekstrom    
Anoka,02003500,Linwood Twp Fawn    
Anoka,02006500,East Bethel Fish    
Anoka,02009100,Oak Grove George    
