01004000,Aitkin,BOF,"[[21, 4], [22, 5], [23, 2], [24, 1], [26, 2], [9, 1]]",26,9,13731610232322005,2016-07-12
01004000,Aitkin,BLC,"[[10, 1], [3, 1], [4, 4], [5, 3], [6, 1], [7, 1], [8, 8], [9, 4]]",10,3,13731610232322005,2016-07-12
01004000,Aitkin,BRB,"[[13, 1], [14, 3], [15, 1]]",15,13,13731610232322005,2016-07-12
01004000,Aitkin,NOP,"[[13, 1], [14, 1], [15, 2], [16, 2], [17, 2], [18, 10], [19, 3], [20, 4], [21, 4], [22, 3], [23, 1]]",23,13,13731610232322005,2016-07-12
01004000,Aitkin,WTS,"[[15, 2], [17, 2], [18, 1]]",18,15,13731610232322005,2016-07-12
01004000,Aitkin,YEB,"[[12, 3], [13, 1], [14, 2], [9, 1]]",14,9,13731610232322005,2016-07-12
01016900,Bachelor,RKB,"[[5, 1], [6, 1], [7, 2], [8, 2]]",8,5,113650,2001-07-18
01016900,Bachelor,HSF,"[[7, 1], [8, 3]]",8,7,113650,2001-07-18
01016900,Bachelor,PMK,"[[3, 2], [4, 4], [5, 28], [6, 22], [7, 4], [8, 2]]",8,3,113650,2001-07-18
01016900,Bachelor,LMB,"[[2, 3], [10, 7], [11, 5], [12, 6], [13, 1], [14, 3], [15, 1], [16, 4], [5, 2], [6, 4], [7, 11], [8, 12], [9, 5]]",16,2,113650,2001-07-18
01016900,Bachelor,NOP,"[[13, 1], [15, 1], [16, 1], [17, 2], [18, 2], [19, 2], [20, 5], [21, 2], [22, 1], [23, 2], [24, 1], [26, 1], [27, 1], [29, 1], [35, 1]]",35,13,113650,2001-07-18
01016900,Bachelor,BRB,"[[13, 2]]",13,13,113650,2001-07-18
01016900,Bachelor,YEP,"[[2, 1], [5, 1], [6, 3], [7, 2]]",7,2,113650,2001-07-18
01016900,Bachelor,BLC,"[[10, 2], [3, 1], [5, 1], [6, 4], [7, 19], [8, 6], [9, 1]]",10,3,113650,2001-07-18
01016900,Bachelor,BLG,"[[1, 1], [3, 10], [4, 47], [5, 40], [6, 23], [7, 24], [8, 1]]",8,1,113650,2001-07-18
01016900,Bachelor,YEB,"[[10, 3], [11, 3], [12, 2], [6, 2], [7, 1], [9, 2]]",12,6,113650,2001-07-18
01016900,Bachelor,BOF,"[[18, 1], [19, 2], [20, 1], [21, 2], [24, 3]]",24,18,113650,2001-07-18
01004600,Ball Bluff,NOP,"[[17, 1], [18, 2], [19, 4], [20, 4], [21, 5], [22, 6], [23, 4], [26, 1], [33, 1]]",33,17,4291115738180000,2011-06-20
01004600,Ball Bluff,WTS,"[[12, 3]]",12,12,4291115738180000,2011-06-20
01004600,Ball Bluff,WAE,"[[11, 1], [12, 1], [23, 2], [24, 1], [25, 4], [26, 1]]",26,11,4291115738180000,2011-06-20
01004600,Ball Bluff,BIB,"[[31, 1]]",31,31,4291115738180000,2011-06-20
01004600,Ball Bluff,YEB,"[[10, 6], [11, 6], [12, 1], [13, 1], [6, 1], [7, 1], [9, 5]]",13,6,4291115738180000,2011-06-20
01004600,Ball Bluff,TLC,"[[10, 1], [15, 2], [17, 2], [18, 5], [19, 1]]",19,10,4291115738180000,2011-06-20
01004600,Ball Bluff,BOF,"[[21, 2], [22, 2], [23, 1], [24, 1], [25, 2]]",25,21,4291115738180000,2011-06-20
01004600,Ball Bluff,BLC,"[[10, 1], [6, 1], [7, 1], [9, 1]]",10,6,4291115738180000,2011-06-20
01004600,Ball Bluff,HSF,"[[3, 1], [4, 1], [5, 9], [6, 11], [7, 4]]",7,3,4291115738180000,2011-06-20
01004600,Ball Bluff,LMB,"[[11, 3], [12, 5], [13, 5], [14, 1], [15, 1], [16, 1], [5, 3], [6, 2], [7, 1], [9, 3]]",16,5,4291115738180000,2011-06-20
01004600,Ball Bluff,RKB,"[[3, 1], [4, 1], [5, 1], [6, 4], [7, 5], [8, 5]]",8,3,4291115738180000,2011-06-20
01004600,Ball Bluff,YEP,"[[5, 2], [6, 3]]",6,5,4291115738180000,2011-06-20
01004600,Ball Bluff,BLG,"[[3, 24], [4, 51], [5, 76], [6, 45], [7, 25], [8, 7]]",8,3,4291115738180000,2011-06-20
01004600,Ball Bluff,PMK,"[[3, 1], [4, 3], [5, 7], [6, 16]]",6,3,4291115738180000,2011-06-20
01004600,Ball Bluff,PMK,"[[3, 5], [4, 4], [5, 8], [6, 13], [7, 3]]",7,3,113646,2001-06-25
01004600,Ball Bluff,LMB,"[[10, 1], [12, 2], [13, 1], [14, 1], [15, 1], [16, 1], [18, 1], [5, 1], [6, 1], [7, 1], [8, 4], [9, 2]]",18,5,113646,2001-06-25
01004600,Ball Bluff,RKB,"[[3, 1], [6, 2], [7, 1]]",7,3,113646,2001-06-25
01004600,Ball Bluff,YEP,"[[5, 3], [6, 16], [7, 2], [9, 1]]",9,5,113646,2001-06-25
01004600,Ball Bluff,BLG,"[[3, 13], [4, 32], [5, 46], [6, 45], [7, 10], [8, 5]]",8,3,113646,2001-06-25
01004600,Ball Bluff,TLC,"[[11, 1], [15, 1]]",15,11,113646,2001-06-25
01004600,Ball Bluff,YEB,"[[10, 12], [11, 4], [12, 2], [7, 3], [8, 7], [9, 3]]",12,7,113646,2001-06-25
01004600,Ball Bluff,BRB,"[[11, 1], [13, 1]]",13,11,113646,2001-06-25
01004600,Ball Bluff,HSF,"[[7, 1], [8, 1]]",8,7,113646,2001-06-25
01004600,Ball Bluff,BLC,"[[10, 2], [11, 3], [12, 2], [7, 5], [8, 2], [9, 1]]",12,7,113646,2001-06-25
01004600,Ball Bluff,BOF,"[[20, 4], [21, 6], [22, 2], [23, 2]]",23,20,113646,2001-06-25
01004600,Ball Bluff,WAE,"[[18, 1], [20, 1], [21, 1], [22, 1]]",22,18,113646,2001-06-25
01004600,Ball Bluff,WTS,"[[15, 1], [18, 1]]",18,15,113646,2001-06-25
01004600,Ball Bluff,NOP,"[[10, 1], [13, 5], [14, 2], [15, 8], [16, 4], [17, 5], [18, 6], [19, 8], [20, 8], [21, 9], [22, 3], [23, 1], [24, 2], [25, 1], [27, 1], [34, 1], [9, 1]]",34,9,113646,2001-06-25
01004600,Ball Bluff,NOP,"[[12, 1], [15, 2], [16, 8], [17, 8], [18, 13], [19, 8], [20, 8], [21, 5], [22, 1], [23, 1], [24, 1], [25, 1], [26, 1], [30, 1], [31, 1], [32, 1]]",32,12,113571,1997-06-23
01004600,Ball Bluff,WTS,"[[16, 2], [17, 1]]",17,16,113571,1997-06-23
01004600,Ball Bluff,WAE,"[[22, 1]]",22,22,113571,1997-06-23
01004600,Ball Bluff,TLC,"[[11, 1], [14, 1], [15, 1]]",15,11,113571,1997-06-23
01004600,Ball Bluff,BOF,"[[22, 1]]",22,22,113571,1997-06-23
01004600,Ball Bluff,LMB,"[[12, 1]]",12,12,113571,1997-06-23
01004600,Ball Bluff,YEP,"[[6, 2]]",6,6,113571,1997-06-23
01004600,Ball Bluff,BLG,"[[4, 1]]",4,4,113571,1997-06-23
01004600,Ball Bluff,PMK,"[[4, 1]]",4,4,113571,1997-06-23
01004600,Ball Bluff,HSF,"[[5, 1], [6, 2], [7, 1]]",7,5,17272117230807000,2021-06-21
01004600,Ball Bluff,BLC,"[[4, 1], [5, 1], [6, 2], [7, 2], [8, 1], [9, 2]]",9,4,17272117230807000,2021-06-21
01004600,Ball Bluff,BOF,"[[18, 1], [20, 2], [21, 1], [22, 2], [26, 1]]",26,18,17272117230807000,2021-06-21
01004600,Ball Bluff,BRB,"[[10, 1], [13, 1]]",13,10,17272117230807000,2021-06-21
01004600,Ball Bluff,YEB,"[[10, 1], [11, 2], [12, 1]]",12,10,17272117230807000,2021-06-21
01004600,Ball Bluff,TLC,"[[10, 2], [11, 11], [12, 8], [17, 1], [7, 1]]",17,7,17272117230807000,2021-06-21
01004600,Ball Bluff,NOP,"[[15, 1], [16, 1], [19, 2], [20, 4], [21, 2], [23, 1], [24, 2], [25, 5], [26, 1], [28, 4], [32, 1], [35, 1]]",35,15,17272117230807000,2021-06-21
01004600,Ball Bluff,WTS,"[[13, 1], [15, 1], [17, 1]]",17,13,17272117230807000,2021-06-21
01004600,Ball Bluff,WAE,"[[25, 1]]",25,25,17272117230807000,2021-06-21
01004600,Ball Bluff,PMK,"[[3, 7], [4, 5], [5, 3], [6, 18], [7, 3]]",7,3,17272117230807000,2021-06-21
01004600,Ball Bluff,BLG,"[[3, 34], [4, 52], [5, 23], [6, 21], [7, 15], [8, 2]]",8,3,17272117230807000,2021-06-21
01004600,Ball Bluff,RKB,"[[3, 1], [6, 1], [7, 5], [8, 3]]",8,3,17272117230807000,2021-06-21
01004600,Ball Bluff,YEP,"[[5, 1], [6, 1], [8, 1]]",8,5,17272117230807000,2021-06-21
01004600,Ball Bluff,LMB,"[[10, 3], [11, 1], [12, 2], [13, 1], [14, 1], [15, 3], [5, 1], [8, 1], [9, 2]]",15,5,17272117230807000,2021-06-21
01004600,Ball Bluff,LMB,"[[1, 17], [2, 5], [11, 2], [13, 2], [14, 1], [5, 8], [6, 2], [8, 1], [9, 1]]",14,1,113361,1993-07-06
01004600,Ball Bluff,RKB,"[[6, 1], [7, 3], [9, 1]]",9,6,113361,1993-07-06
01004600,Ball Bluff,BLG,"[[0, 1], [1, 1], [3, 39], [4, 55], [5, 89], [6, 79], [7, 27], [8, 6]]",8,1,113361,1993-07-06
01004600,Ball Bluff,YEP,"[[3, 1], [5, 23], [6, 13], [7, 4]]",7,3,113361,1993-07-06
01004600,Ball Bluff,PMK,"[[3, 13], [4, 15], [5, 15], [6, 6], [7, 3]]",7,3,113361,1993-07-06
01004600,Ball Bluff,WTS,"[[10, 1], [11, 1], [18, 1]]",18,10,113361,1993-07-06
01004600,Ball Bluff,NOP,"[[10, 1], [12, 1], [16, 2], [17, 4], [18, 10], [19, 7], [20, 6], [21, 5], [22, 1], [23, 1], [25, 1]]",25,10,113361,1993-07-06
01004600,Ball Bluff,WAE,"[[16, 1], [17, 3], [18, 1], [20, 1], [21, 2], [22, 2], [23, 1], [25, 1]]",25,16,113361,1993-07-06
01004600,Ball Bluff,BIB,"[[29, 1]]",29,29,113361,1993-07-06
01004600,Ball Bluff,TLC,"[[13, 1], [17, 2], [6, 1]]",17,6,113361,1993-07-06
01004600,Ball Bluff,YEB,"[[11, 1], [9, 1]]",11,9,113361,1993-07-06
01004600,Ball Bluff,BOF,"[[22, 2], [23, 2], [24, 1], [25, 1], [26, 2], [27, 2]]",27,22,113361,1993-07-06
01004600,Ball Bluff,BLC,"[[10, 1], [6, 1], [8, 1]]",10,6,113361,1993-07-06
01004600,Ball Bluff,BRB,"[[10, 1], [8, 1]]",10,8,113361,1993-07-06
